Unnamed: 0,barangay,name_original,address,address_clean,major_division,sub_division,category,data_source,open_hours,close_hours,latitude,longitude,district
41,Bagong Silangan,Bagong Silangan,"Bonifacio St., Brgy. Bagong Silangan","Bonifacio Street, Barangay Bagong Silangan, Quezon City, Philippines",Health centers,,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",,,14.6977113,121.110502,2.0
42,Bagong Silangan,Sitio Veterans I,"Ground Floor, Sitio Veterans CDC, Lot 1 Block 18, Dove St., Area 1 Sitio Veterans, corner Don Vicente St., Brgy. Bagong Silangan","Ground Floor, Sitio Veterans CDC, Lot 1 Block 18, Dove Street, Area 1 Sitio Veterans, corner Don Vicente Street, Barangay Bagong Silangan, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.7015502,121.1034887,2.0
43,Bagong Silangan,Bagong Silangan Lying–In Clinic,"Bonifacio St., Brgy. Bagong Silangan","Bonifacio Street, Barangay Bagong Silangan, Quezon City, Philippines",Health centers,,LGU-run lying-in clinics,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",,,14.6977113,121.110502,2.0
44,Bagong Silangan,Bagong Silangan,"Lot 1, Block 18, Bonifacio St., corner Geronimo St. (beside Brgy. Hall), Brgy. Bagong Silangan","Lot 1, Block 18, Bonifacio Street, corner Geronimo Street (beside Barangay Hall), Barangay Bagong Silangan, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.69783209,121.1102098,2.0
45,Bagong Silangan,Rolling Hills,"Purok 7, Sitio Rolling Hills (Boundary QC & Montalban)","Purok 7, Sitio Rolling Hills (Boundary QC & Montalban), Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,2.0
46,Bagong Silangan,ezr learning institute inc.,"568, a. bonifacio street, bagong silangan, quezon city, ncr, 1119","568, a. bonifacio street, bagong silangan, quezon city, ncr, 1119, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",6:31AM,4:00PM,14.69773617,121.1103265,2.0
47,Bagong Silangan,Covenant,"David St., Covenant Village, Brgy. Bagong Silangan","David Street, Covenant Village, Barangay Bagong Silangan, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.70217907,121.109508,2.0
48,Bagong Silangan,del carmen school of veterans quezon city inc.,"area 1, dove st., sitio veterans, bagong silangan, quezon city, ncr, 1119","area 1, dove Street, sitio veterans, bagong silangan, quezon city, ncr, 1119, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",7:00AM,4:00PM,14.70606654,121.1061365,2.0
49,Bagong Silangan,Filside,"Lot Block 6, Filside Homes, Brgy. Bagong Silangan","Lot Block 6, Filside Homes, Barangay Bagong Silangan, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.698957,121.0982875,2.0
50,Bagong Silangan,Sitio Veterans II,"Second Floor, Sitio Veterans CDC, Lot 1 Block 18, Dove St., Area 1 Sitio Veterans, corner Don Vicente St., Brgy. Bagong Silangan","Second Floor, Sitio Veterans CDC, Lot 1 Block 18, Dove Street, Area 1 Sitio Veterans, corner Don Vicente Street, Barangay Bagong Silangan, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.7015502,121.1034887,2.0
51,Bagong Silangan,Bakas,"052A Bakas Compound, Brgy. Bagong Silangan","052A Bakas Compound, Barangay Bagong Silangan, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.7017153,121.110362,2.0
52,Bagong Silangan,Area 5,"Lot 1 Block 18, Baesang Pass St., Area 5, Sitio Veterans, Brgy. Bagong Silangan","Lot 1 Block 18, Baesang Pass Street, Area 5, Sitio Veterans, Barangay Bagong Silangan, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.7017153,121.110362,2.0
53,Bagumbayan,solid fundevmentals therapy center inc.,"unit a312 3rd flr., eastwood mall, orchard rd eastwood city, bagumbayan, quezon city, ncr, 1110","unit a312 3rd Floor, eastwood mall, orchard rd eastwood city, bagumbayan, quezon city, ncr, 1110, Philippines",Long-term care and rehabilitation services,,Rehabilitation clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.6109413,121.0802326,3.0
54,Bagumbayan,peak physical therapy & scoliosis center corp.,"space a , one orchard eastwood city cyberpark, 188, e. rodriguez jr. avenue, bagumbayan, quezon city, ncr, 1110","space a , one orchard eastwood city cyberpark, 188, e. rodriguez jr. avenue, bagumbayan, quezon city, ncr, 1110, Philippines",Long-term care and rehabilitation services,,Physical therapy clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.60621102,121.079558,3.0
55,Bagumbayan,all ways therapy center corp.,"unit i29-i30, the strip at circulo verde, calle industria, bagumbayan, quezon city, ncr, 1110","unit i29-i30, the strip at circulo verde, calle industria, bagumbayan, quezon city, ncr, 1110, Philippines",Long-term care and rehabilitation services,,Physical/occupational therapy school,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.6068,121.08,3.0
56,Bagumbayan,thames international school inc.,"no. 27, calle industria st., bagumbayan, quezon city, ncr, 1110","27, calle industria Street, bagumbayan, quezon city, ncr, 1110, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",6:00AM,6:00PM,14.60486485,121.0847506,3.0
57,Bagumbayan,Bagumbayan,"75 San Roque St., Brgy. Bagumbayan","75 San Roque Street, Barangay Bagumbayan, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.60863519,121.0823074,3.0
58,Bagumbuhay,Bagumbuhay,"Plaza Malvar, Malvar St., Brgy. Bagumbuhay","Plaza Malvar, Malvar Street, Barangay Bagumbuhay, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,14.6250583,121.0651218,3.0
59,Bagumbuhay,Project 4,"Kalantiaw st. cor. P. Tuazon, Brgy. Bagumbuhay","Kalantiaw Street corner P. Tuazon, Barangay Bagumbuhay, Quezon City, Philippines",Health centers,,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",,,14.62214091,121.0653726,3.0
60,Bahay Toro,grace gospel church north education foundation inc.,"3rd flr., northridge plaza, annex a,, 12, congressional ave., bahay toro, quezon city, ncr, 1106","3rd Floor, northridge plaza, annex a, 12, congressional Avenue, bahay toro, quezon city, ncr, 1106, Philippines",Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",7:00AM,12:00PM,14.670708,121.039056,1.0
61,Bahay Toro,Pook Masagana,Alley 25 Pook Masagana,"Alley 25 Pook Masagana, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",,,,,1.0
