,barangay,district,name_original,address,address_clean,major_division,sub_division,category,data_source,open_hours,close_hours,latitude,longitude
40,Bagong Silangan,2,Asprer,"Area 6, Bgy. Bagong Silangan, Brgy. Bagong Silangan","Area 6, Barangay Bagong Silangan, Barangay Bagong Silangan, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.698957,121.0982875
41,Bagong Silangan,2,Bagong Silangan,"Bonifacio St., Brgy. Bagong Silangan","Bonifacio Street, Barangay Bagong Silangan, Quezon City, Philippines",Health centers,#N/A,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",#N/A,#N/A,14.6977113,121.110502
42,Bagong Silangan,2,Sitio Veterans I,"Ground Floor, Sitio Veterans CDC, Lot 1 Block 18, Dove St., Area 1 Sitio Veterans, corner Don Vicente St., Brgy. Bagong Silangan","Ground Floor, Sitio Veterans CDC, Lot 1 Block 18, Dove Street, Area 1 Sitio Veterans, corner Don Vicente Street, Barangay Bagong Silangan, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.7015502,121.1034887
43,Bagong Silangan,2,Bagong Silangan Lying–In Clinic,"Bonifacio St., Brgy. Bagong Silangan","Bonifacio Street, Barangay Bagong Silangan, Quezon City, Philippines",Health centers,#N/A,LGU-run lying-in clinics,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",#N/A,#N/A,14.6977113,121.110502
44,Bagong Silangan,2,Bagong Silangan,"Lot 1, Block 18, Bonifacio St., corner Geronimo St. (beside Brgy. Hall), Brgy. Bagong Silangan","Lot 1, Block 18, Bonifacio Street, corner Geronimo Street (beside Barangay Hall), Barangay Bagong Silangan, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.69783209,121.1102098
45,Bagong Silangan,2,Rolling Hills,"Purok 7, Sitio Rolling Hills (Boundary QC & Montalban)","Purok 7, Sitio Rolling Hills (Boundary QC & Montalban), Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A
46,Bagong Silangan,2,ezr learning institute inc.,"568, a. bonifacio street, bagong silangan, quezon city, ncr, 1119","568, a. bonifacio street, bagong silangan, quezon city, ncr, 1119, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",6:31AM,4:00PM,14.69773617,121.1103265
47,Bagong Silangan,2,Covenant,"David St., Covenant Village, Brgy. Bagong Silangan","David Street, Covenant Village, Barangay Bagong Silangan, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.70217907,121.109508
48,Bagong Silangan,2,del carmen school of veterans quezon city inc.,"area 1, dove st., sitio veterans, bagong silangan, quezon city, ncr, 1119","area 1, dove Street, sitio veterans, bagong silangan, quezon city, ncr, 1119, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",7:00AM,4:00PM,14.70606654,121.1061365
49,Bagong Silangan,2,Filside,"Lot Block 6, Filside Homes, Brgy. Bagong Silangan","Lot Block 6, Filside Homes, Barangay Bagong Silangan, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.698957,121.0982875
