,barangay,district,name_original,address,address_clean,major_division,sub_division,category,data_source,open_hours,close_hours,latitude,longitude
357,Matandang Balara,3,Samadores,"Area 2, Luzon, Brgy. Matandang Balara","Area 2, Luzon, Barangay Matandang Balara, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.66699301,121.070284
358,Matandang Balara,3,Feria II,"2nd Flr., Feria CDC, Dao St., Feria Rd., Brgy. Matandang Balara","2nd Floor, Feria CDC, Dao Street, Feria Road, Barangay Matandang Balara, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.67157251,121.0801894
359,Matandang Balara,3,Laura I,"Purok 3 Area 5 Ground Floor, Brgy. Matandang Balara","Purok 3 Area 5 Ground Floor, Barangay Matandang Balara, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A
360,Matandang Balara,3,Calderon,"251 Calderon St., Brgy. Matandang Balara","251 Calderon Street, Barangay Matandang Balara, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.66853097,121.076747
361,Matandang Balara,3,little makers playroof learning center,"2, romulo st, north susana exec. village, matandang balara, quezon city, ncr, 1119","2, romulo st, north susana exec. village, matandang balara, quezon city, ncr, 1119, Philippines",Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,6:00PM,14.67571205,121.0717077
362,Matandang Balara,3,Old Balara (Annex),"99A Tandang Sora Ave, Brgy. Matandang Balara","99A Tandang Sora Ave, Barangay Matandang Balara, Quezon City, Philippines",Health centers,#N/A,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",#N/A,#N/A,#N/A,#N/A
363,Matandang Balara,3,rehub physical therapy and recovery clinic opc,"2f, celebrity sports plaza ,, capitol hills drive, matandang balara, quezon city, ncr, 1119","2f, celebrity sports plaza , capitol hills drive, matandang balara, quezon city, ncr, 1119, Philippines",Long-term care and rehabilitation services,#N/A,Physical therapy clinic | rehabilitation clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,8:00PM,14.6653977,121.0798589
364,Matandang Balara,3,Villa Beatriz,"Villa Beatriz Extension, Brgy. Matandang Balara","Villa Beatriz Extension, Barangay Matandang Balara, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.67396623,121.0757394
365,Matandang Balara,3,Bahay Bulilit,"Bgy.Hall Compound, Villa Beatriz, Brgy. Matandang Balara","BarangayHall Compound, Villa Beatriz, Barangay Matandang Balara, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.67396623,121.0757394
366,Matandang Balara,3,Sapang Kangkong,"168 Kilusan St., Brgy. Matandang Balara","168 Kilusan Street, Barangay Matandang Balara, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A
367,Matandang Balara,3,Area I Luzon,"Mafran Area I, Brgy. Matandang Balara","Mafran Area I, Barangay Matandang Balara, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A
368,Matandang Balara,3,Area VA,"Area 5 Luzon near INC Church, Brgy. Matandang Balara","Area 5 Luzon near INC Church, Barangay Matandang Balara, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A
369,Milagrosa,3,Milagrosa,"5K Oval Belarmino St., Brgy. Milagrosa","5K Oval Belarmino Street, Barangay Milagrosa, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.62093484,121.0689756
370,Milagrosa,3,primefil psychological services,"unit 814, emerald square , j. p rizal st, milagrosa, quezon city, ncr, 1109","unit 814, emerald square , j. p rizal st, milagrosa, quezon city, ncr, 1109, Philippines",Long-term care and rehabilitation services,#N/A,Psychological clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.62040068,121.0716828
371,Milagrosa,3,"the builder's school building ideas, crafting solutions inc.","121, j.p. rizal, milagrosa, quezon city, ncr, 1109","121, j.p. rizal, milagrosa, quezon city, ncr, 1109, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",8:00AM,4:30PM,14.62040068,121.0716828
372,N. S. Amoranto (Gintong Silahis),1,N.S. Amoranto,Barangay Hall Angelo St.,"Barangay Hall Angelo Street, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.63280252,120.9942065
373,Nagkaisang Nayon,5,Nagkaisang Nayon,"Terio St., FB de Jesus,Sitio Damong Maliit Bgy. Nagkaisang Nayon","Terio Street, FB de Jesus,Sitio Damong Maliit Barangay Nagkaisang Nayon, Quezon City, Philippines",Health centers,#N/A,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",#N/A,#N/A,14.72322303,121.0315711
374,Nagkaisang Nayon,5,Jonaville I,"St.Joseph St., Jonaville Subdivision, Brgy. Nagkaisang Nayon","StreetJoseph Street, Jonaville Subdivision, Barangay Nagkaisang Nayon, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.7235756,121.0251884
375,Nagkaisang Nayon,5,capstone highest achiever learning school inc.,"block 10, lot 2, north wind ave. queens rd. , north wind subd, nagkaisang nayon, quezon city, ncr, 1125","block 10, lot 2, north wind Avenue queens Road , north wind subd, nagkaisang nayon, quezon city, ncr, 1125, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",8:00AM,5:00PM,14.71383,121.032595
376,Nagkaisang Nayon,5,Pasacola II,"Lot 158-B, Area C, Pasacola, Brgy. Nagkaisang Nayon","Lot 158-B, Area C, Pasacola, Barangay Nagkaisang Nayon, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.7180742,121.0320746
377,Nagkaisang Nayon,5,Pasacola I,"Blk 1, Dormitory Phase 1 (Nagkakaisang Lakas) , Brgy. Nagkaisang Nayon","Blk 1, Dormitory Phase 1 (Nagkakaisang Lakas) , Barangay Nagkaisang Nayon, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.7235756,121.0251884
378,Nagkaisang Nayon,5,Lazaro,"Lot 5 Blk 5, Damong Maliit, Lazaro Subd., Brgy. Nagkaisang Nayon","Lot 5 Blk 5, Damong Maliit, Lazaro Subdivision, Barangay Nagkaisang Nayon, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.72322303,121.0315711
379,Nagkaisang Nayon,5,Queensland II,"Ground Floor Vargas Building, Blk 5 Lot 14 Ruby St. Queensland 2 Village, Brgy Nagkaisang Nayon","Ground Floor Vargas Building, Blk 5 Lot 14 Ruby Street Queensland 2 Village, Barangay Nagkaisang Nayon, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A
380,Nagkaisang Nayon,5,Nagkaisang Nayon I,"Barangay Hall Compound., #7 Banahaw St. Brgy. Nagkaisang Nayon","Barangay Hall Compound., #7 Banahaw Street Barangay Nagkaisang Nayon, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.71932957,121.0286675
381,Nagkaisang Nayon,5,Queensland I,"Princess Grace St., Queensland Phase I Subd., Damong Maliit, Brgy. Nagkaisang Nayon","Princess Grace Street, Queensland Phase I Subdivision, Damong Maliit, Barangay Nagkaisang Nayon, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.72322303,121.0315711
382,Nagkaisang Nayon,5,Robina,"Robina Rd. Sierra Vista Subd., Brgy. Nagkaisang Nayon","Robina Road Sierra Vista Subdivision, Barangay Nagkaisang Nayon, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.714443,121.020511
383,Nagkaisang Nayon,5,Nagkaisang Nayon II,"Barangay Hall Compound., #7 Banahaw St. Brgy. Nagkaisang Nayon","Barangay Hall Compound., #7 Banahaw Street Barangay Nagkaisang Nayon, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.71932957,121.0286675
384,Nagkaisang Nayon,5,St. Andrew,"Sampaguita St., Dantes Subd., Damong Maliit, Brgy. Nagkaisang Nayon","Sampaguita Street, Dantes Subdivision, Damong Maliit, Barangay Nagkaisang Nayon, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A
385,Nagkaisang Nayon,5,Nagkaisang Nayon Health Center,"Terio St., FB de Jesus,Sitio Damong Maliit Bgy. Nagkaisang Nayon","Terio Street, FB de Jesus,Sitio Damong Maliit Barangay Nagkaisang Nayon, Quezon City, Philippines",Health centers,#N/A,Health center pharmacy,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",#N/A,#N/A,14.72322303,121.0315711
386,Nagkaisang Nayon,5,Villa Nova,"St. Michael St. cor Francis St. Villanova Subd., Brgy. Nagkaisang Nayon","Street Michael Street corner Francis Street Villanova Subdivision, Barangay Nagkaisang Nayon, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.7235756,121.0251884
387,Nayong Kanluran,1,kg therapy recovery clinic,"13b, west avenue, nayong kanluran, quezon city, ncr, 1125","13b, west avenue, nayong kanluran, quezon city, ncr, 1125, Philippines",Long-term care and rehabilitation services,#N/A,Physical therapy clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",10:00AM,8:00PM,14.63873502,121.0259828
388,Nayong Kanluran,1,Nayong Kanluran,37 Sorsogon St.,"37 Sorsogon Street, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.64061471,121.0256299
389,North Fairview,5,first mile christian school of life in the light christian fellowship,"385, l1, riyal st. cor peseta st., north fairview, quezon city, ncr, 1121","385, l1, riyal Street corner peseta Street, north fairview, quezon city, ncr, 1121, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",8:00AM,6:00PM,14.71073901,121.0586909
390,North Fairview,5,Milenyo,"Milenyo Daycare Center Building, Milenyo St. Phase 8-I, Brgy. North Fairview","Milenyo Daycare Center Building, Milenyo Street Phase 8-I, Barangay North Fairview, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A
391,North Fairview,5,discovery house montessori of quezon city inc.,"b9 , l14, #59 adrian st. , north fairview, quezon city, ncr, 1121","b9 , l14, #59 adrian Street , north fairview, quezon city, ncr, 1121, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",8:00AM,5:00PM,14.70991481,121.0624281
392,North Fairview,5,angel's elderly home care services,"14, bergen street, north fairview park subdivision, north fairview, quezon city, ncr, 1121","14, bergen street, north fairview park subdivision, north fairview, quezon city, ncr, 1121, Philippines",Older persons care,#N/A,Nursing care center,"QC Future Ready dashboard, Older persons care",6:00AM,6:00AM,#N/A,#N/A
393,North Fairview,5,NAMAPA,"NAMAPA Compound, Brgy. North Fairview","NAMAPA Compound, Barangay North Fairview, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.713,121.064
394,North Fairview,5,Avon,"13-A Avon St., North Fairview Subd., Brgy. North Fairview","13-A Avon Street, North Fairview Subdivision, Barangay North Fairview, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A
395,North Fairview,5,little favored learning center,"block 51, lot 22 b, bristol st, north fairview, quezon city, ncr, 1121","block 51, lot 22 b, bristol st, north fairview, quezon city, ncr, 1121, Philippines",Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:30AM,5:00PM,14.72012071,121.0630995
396,North Fairview,5,Phase 8-II,"2nd Floor Daycare and Livelihood Center Building, Peso St., United North Fairview Subd., Brgy. North Fairview","2nd Floor Daycare and Livelihood Center Building, Peso Street, United North Fairview Subdivision, Barangay North Fairview, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A
397,North Fairview,5,tlg home care services,"# 39, burbank, north fairview park, north fairview, quezon city, ncr, 1121","# 39, burbank, north fairview park, north fairview, quezon city, ncr, 1121, Philippines",Older persons care,#N/A,Nursing care center,"QC Future Ready dashboard, Older persons care",6:00AM,6:00PM,#N/A,#N/A
398,North Fairview,5,Phase 8-I,"1st Floor Daycare and Livelihood Center Building, Peso St., United North Fairview Subd., Brgy. North Fairview","1st Floor Daycare and Livelihood Center Building, Peso Street, United North Fairview Subdivision, Barangay North Fairview, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A
399,North Fairview,5,North Fairview,"Avon St., North Fairview Park Subd., Brgy. North Fairview","Avon Street, North Fairview Park Subdivision, Barangay North Fairview, Quezon City, Philippines",Health centers,#N/A,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",#N/A,#N/A,14.708786,121.0631239
400,North Fairview,5,the fountain of life school of quezon city inc.,"433, drachma st. phase 8, north fairview, quezon city, ncr, 1121","433, drachma Street phase 8, north fairview, quezon city, ncr, 1121, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",8:00AM,5:00PM,14.70978162,121.0544651
401,Novaliches Proper,5,Arsenia De Jesus Maximo Super Health Center,"Quirino Highway, Brgy. Novaliches Proper","Quirino Highway, Barangay Novaliches Proper, Quezon City, Philippines",Health centers,#N/A,Super health care centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",#N/A,#N/A,#N/A,#N/A
402,Novaliches Proper,5,physioprime physiotherapy  services,"45, petronia st., buenamar subd., novaliches proper, quezon city, ncr, 1121","45, petronia Street, buenamar Subdivision, novaliches proper, quezon city, ncr, 1121, Philippines",Long-term care and rehabilitation services,#N/A,Physical therapy clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",9:00AM,6:00PM,14.7190274,121.0386335
403,Novaliches Proper,5,Arsenia De Jesus Maximo Lying–In Clinic,"Quirino Hi–way, Brgy. Novaliches","Quirino Hi–way, Barangay Novaliches, Quezon City, Philippines",Health centers,#N/A,LGU-run lying-in clinics,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",#N/A,#N/A,#N/A,#N/A
404,Novaliches Proper,5,Novaliches Proper II,"2nd Floor Multi-purpose Bldg., P. Tupaz St., Doña Rosario, Brgy. Novaliches Proper","2nd Floor Multi-purpose Building, P. Tupaz Street, Doña Rosario, Barangay Novaliches Proper, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.71886189,121.0352432
405,Novaliches Proper,5,Novaliches Proper I,"3rd Floor, Livelihood CHILD DEVELOPMENT CENTER Bldg., Nova Plaza, Buenamar St.,Brgy. Novaliches Proper","3rd Floor, Livelihood CHILD DEVELOPMENT CENTER Building, Nova Plaza, Buenamar Street,Barangay Novaliches Proper, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.71891743,121.0392507
406,Novaliches Proper,5,Doña Rosario,"Ground Floor Multi-purpose Bldg., P. Tupaz St., Doña Rosario, Brgy. Novaliches Proper","Ground Floor Multi-purpose Building, P. Tupaz Street, Doña Rosario, Barangay Novaliches Proper, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.71886189,121.0352432
407,Novaliches Proper,5,Arsenia de Jesus Maximo Super,"Quirino Highway, Brgy. Novaliches Proper","Quirino Highway, Barangay Novaliches Proper, Quezon City, Philippines",Health centers,#N/A,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",#N/A,#N/A,#N/A,#N/A
408,Obrero,4,jeenie beyond beauty inc.,"arcade 9, 68 roces, roces ave., obrero, quezon city, ncr, 1103","arcade 9, 68 roces, roces Avenue, obrero, quezon city, ncr, 1103, Philippines",Long-term care and rehabilitation services,#N/A,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",9:00AM,9:00PM,14.6283,121.03
409,Obrero,4,Obrero,"Brgy. Obrero Bgy Hall, Parkway St. cor. Tomas Morato Ave.","Barangay Obrero Bgy Hall, Parkway Street corner Tomas Morato Avenue, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.62634518,121.0334249
410,Old Capitol Site,4,Old Capitol Site,Masaya St. Interior (near Bgy. Hall) Brgy. Old Capitol Site,"Masaya Street Interior (near Barangay Hall) Barangay Old Capitol Site, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.65156063,121.0535393
411,Old Capitol Site,4,Pechayan,Zone 1 Brgy. Old Capitol Site,"Zone 1 Barangay Old Capitol Site, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.6504202,121.0525881
412,Paang Bundok,1,cudiamat medical c0rp.,"165, labo st.  la loma, paang bundok, quezon city, ncr, 1114","165, labo Street la loma, paang bundok, quezon city, ncr, 1114, Philippines",Long-term care and rehabilitation services,#N/A,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.629017,120.9914375
413,Paang Bundok,1,La Loma,"225 Mariveles St., Brgy. Paang Bundok","225 Mariveles Street, Barangay Paang Bundok, Quezon City, Philippines",Health centers,#N/A,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",#N/A,#N/A,14.626996,120.991853
414,Paang Bundok,1,Paang Bundok,"Barangay Hall 166 Iriga St., La Loma","Barangay Hall 166 Iriga Street, La Loma, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.62785301,120.993033
415,Pag-ibig sa Nayon,1,Pag-ibig sa Nayon,23 J. Pineda St.,"23 J. Pineda Street, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.64644032,120.9961432
416,Paligsahan,4,bridgeway educational and therapy center,"room 401 4th floor, vd & s building , 59-b panay avenue , paligsahan, quezon city, ncr, 1103","room 401 4th floor, vd & s building , 59-b panay avenue , paligsahan, quezon city, ncr, 1103, Philippines",Long-term care and rehabilitation services,#N/A,Physical/occupational therapy school,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.63496601,121.024757
417,Paligsahan,4,Paligsahan,Roces Avenue Brgy. Paligsahan,"Roces Avenue Barangay Paligsahan, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.631862,121.02121
418,Paligsahan,4,stridephysio physiotherapy services,"unit m11 mezzanine floor, victoria towers, #78 timog avenue cor panay avenue, paligsahan, quezon city, ncr, 1103","unit m11 mezzanine floor, victoria towers, #78 timog avenue corner panay avenue, paligsahan, quezon city, ncr, 1103, Philippines",Long-term care and rehabilitation services,#N/A,Physical therapy clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",9:00AM,6:00PM,#N/A,#N/A
419,Paligsahan,4,pio preschool and tutorial center inc.,"ground floor unit 105  , no. 23 panay avenue, paligsahan, quezon city, ncr, 1103","ground floor unit 105 , 23 panay avenue, paligsahan, quezon city, ncr, 1103, Philippines",Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",8:00AM,4:00PM,14.63168601,121.01954
420,Paligsahan,4,wunderkids health group corp.,"4th flr. unit 401, block s53, lot b, 3 sct. gandia, paligsahan, quezon city, ncr, 1103","4th Floor unit 401, block s53, lot b, 3 sct. gandia, paligsahan, quezon city, ncr, 1103, Philippines",Long-term care and rehabilitation services,#N/A,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,7:00PM,#N/A,#N/A
421,Paltok,1,Paltok,"14 Matias St., Brgy. Paltok","14 Matias Street, Barangay Paltok, Quezon City, Philippines",Health centers,#N/A,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",#N/A,#N/A,14.64300872,121.0231876
422,Paltok,1,"therapies for life clinic, inc.","g/f unit 110, westria residences, 77 west ave., paltok, quezon city, ncr, 1105","g/f unit 110, westria residences, 77 west Avenue, paltok, quezon city, ncr, 1105, Philippines",Long-term care and rehabilitation services,#N/A,Therapeutic clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,8:00PM,14.646701,121.027865
423,Paltok,1,Barangay Paltok Health Center,"14 Matias St., Brgy. Paltok","14 Matias Street, Barangay Paltok, Quezon City, Philippines",Health centers,#N/A,Health center pharmacy,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",#N/A,#N/A,14.64300872,121.0231876
424,Paltok,1,Paltok,"Brgy. Hall, Mendoza cor. Basa","Barangay Hall, Mendoza corner Basa, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.64323648,121.0224596
425,Paltok,1,East Anak Bayan,75 Anakbayan Dulo St.,"75 Anakbayan Dulo Street, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A
426,Pansol,3,Kaingin II,"Bungad Kaingin II, near Bgy. Hall Extension, Brgy. Pansol","Bungad Kaingin II, near Barangay Hall Extension, Barangay Pansol, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.6522903,121.0810053
427,Pansol,3,Pansol Proper,"SK Building Plaza St., Barangay Hall, Brgy. Pansol","SK Building Plaza Street, Barangay Hall, Barangay Pansol, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,14.65134602,121.076455
428,Pansol,3,Kaingin I,"Block 1 Kaingin 1, Brgy. Pansol","Block 1 Kaingin 1, Barangay Pansol, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A
429,Pansol,3,Pansol,"Plaza St., Brgy. Pansol","Plaza Street, Barangay Pansol, Quezon City, Philippines",Health centers,#N/A,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",#N/A,#N/A,14.65134602,121.076455
430,Pansol,3,Barangay Pansol Health Center,"Plaza St., Brgy. Pansol","Plaza Street, Barangay Pansol, Quezon City, Philippines",Health centers,#N/A,Health center pharmacy,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",#N/A,#N/A,14.65134602,121.076455
431,Paraiso,1,"aba learning diversity therapy center, inc.","105, roosevelt avenue, sfdm, paraiso, quezon city, ncr, 1104","105, roosevelt avenue, sfdm, paraiso, quezon city, ncr, 1104, Philippines",Long-term care and rehabilitation services,#N/A,Physical/occupational therapy school,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,6:00PM,14.63778485,121.0178423
432,Paraiso,1,"aba learning diversity therapy center, inc.","105, roosevelt avenue, sfdm, paraiso, quezon city, ncr, 1104","105, roosevelt avenue, sfdm, paraiso, quezon city, ncr, 1104, Philippines",Long-term care and rehabilitation services,#N/A,Physical/occupational therapy school,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,6:00PM,14.63778485,121.0178423
433,Pasong Putik Proper,5,msa whiz kids academy inc.,"13, 15, 17, 19, bituin street, teresa heights subdivision, pasong putik proper, quezon city, ncr, 1118","13, 15, 17, 19, bituin street, teresa heights subdivision, pasong putik proper, quezon city, ncr, 1118, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",8:00AM,5:00PM,14.7377845,121.0629676
434,Pasong Putik Proper,5,Pechayan,"Block 31 Lot 23 Ilang-Ilang St. Pechayan Kanan, Maligaya Park, Brgy. Pasong Putik","Block 31 Lot 23 Ilang-Ilang Street Pechayan Kanan, Maligaya Park, Barangay Pasong Putik, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A
435,Pasong Putik Proper,5,physiofirst health care clinic,"unit 209 second floor, christopher plaza building,, quirino highway, novaliches, pasong putik proper, quezon city, ncr, 1118","unit 209 second floor, christopher plaza building, quirino highway, novaliches, pasong putik proper, quezon city, ncr, 1118, Philippines",Long-term care and rehabilitation services,#N/A,Physical therapy clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.735578,121.065449
436,Pasong Putik Proper,5,Maligaya,"Pechayan St., Maligaya Park Subd., Brgy. Pasong Putik","Pechayan Street, Maligaya Park Subdivision, Barangay Pasong Putik, Quezon City, Philippines",Health centers,#N/A,Health centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",#N/A,#N/A,#N/A,#N/A
437,Pasong Putik Proper,5,msa whiz kids academy inc.,"13, 15, 17, 19, bituin street, teresa heights subdivision, pasong putik proper, quezon city, ncr, 1118","13, 15, 17, 19, bituin street, teresa heights subdivision, pasong putik proper, quezon city, ncr, 1118, Philippines",Schools,Private,Private school,"QC Future Ready dashboard, Schools",8:00AM,5:00PM,14.7377845,121.0629676
438,Pasong Putik Proper,5,physiofirst health care clinic,"unit 209 second floor, christopher plaza building,, quirino highway, novaliches, pasong putik proper, quezon city, ncr, 1118","unit 209 second floor, christopher plaza building, quirino highway, novaliches, pasong putik proper, quezon city, ncr, 1118, Philippines",Long-term care and rehabilitation services,#N/A,Physical therapy clinic,"QC Future Ready dashboard, Long-term care and rehabilitation services",8:00AM,5:00PM,14.735578,121.065449
439,Pasong Putik Proper,5,SAMAPINA,"Block 1 Lot 60 Sampaguita St. Maligaya Park, Brgy. Pasong Putik Proper","Block 1 Lot 60 Sampaguita Street Maligaya Park, Barangay Pasong Putik Proper, Quezon City, Philippines",Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A
440,Pasong Putik Proper,5,Maligaya Health Center,"Pechayan St., Maligaya Park Subd., Brgy. Pasong Putik","Pechayan Street, Maligaya Park Subdivision, Barangay Pasong Putik, Quezon City, Philippines",Health centers,#N/A,Health center pharmacy,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",#N/A,#N/A,#N/A,#N/A
