name_original,address,barangay,district,major_division,sub_division,category,source_reference,latitude,longitude,open_hours,close_hours,frequency_mon_fri,frequency_saturday,frequency_sunday,bus_route,data_source
Lupang Pangako,"Phase I, Lupang Pangako, Brgy. Payatas",Payatas,2.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.718739,121.110013,,,,,,,Administrative data
Magdaleno H. Pedro,"13 J.P. Eugenio St., Philand Subd., Brgy. Pasong Tamo",Pasong Tamo,6.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6746014,121.0486943,,,,,,,Administrative data
Maligaya,"Pechayan St., Maligaya Park Subd., Brgy. Pasong Putik",Pasong Putik Proper,5.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.7407971,121.0646488,,,,,,,Administrative data
Maligaya Health Center,"Pechayan St., Maligaya Park Subd., Brgy. Pasong Putik",Pasong Putik Proper,5.0,Health centers,,Health center pharmacy,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.7407971,121.0646488,,,,,,,Administrative data
Masambong,"8 Malac St., Brgy. Masambong",Masambong,1.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6407817,121.0115284,,,,,,,Administrative data
Melchora Aquino,"Loboc St. Napocor Village, Brgy. Tandang Sora",Tandang Sora,6.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6863889,121.0469444,,,,,,,Administrative data
Mercedes de Joya,"Dapitan cor. Mayon St., Brgy. Sta. Teresita",Sta. Teresita,1.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.619881,121.0033518,,,,,,,Administrative data
Murphy Lying–In Clinic,"18th Avenue, Brgy. San Roque",San Roque,3.0,Health centers,,LGU-run lying-in clinic,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6173502,121.0627252,,,,,,,Administrative data
Murphy Super,"37 18th Avenue, Brgy. San Roque",San Roque,3.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6156658,121.0633553,,,,,,,Administrative data
Murphy Super Health Centers,"35 18th Avenue, Brgy. San Roque",San Roque,3.0,Health centers,,Super health care center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6155275,121.0635145,,,,,,,Administrative data
Nagkaisang Nayon,"Terio St., FB de Jesus,Sitio Damong Maliit Bgy. Nagkaisang Nayon",Nagkaisang Nayon,5.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.7259839,121.0265528,,,,,,,Administrative data
Nagkaisang Nayon Health Center,"Terio St., FB de Jesus,Sitio Damong Maliit Bgy. Nagkaisang Nayon",Nagkaisang Nayon,5.0,Health centers,,Health center pharmacy,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.7259839,121.0265528,,,,,,,Administrative data
National Children’s Hospital,"264 E. Rodriguez Sr. Avenue, Quezon City, Philippines",Mariana,3.0,Health centers,,National government-owned hospital,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6208146376327,121.020841246587,,,,,,,Administrative data
National Government Center (NGC) Super Health Center,"MRB, Phase 1 Pilot Drive, Brgy. Commonwealth",Commonwealth,2.0,Health centers,,Health center pharmacy,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6957377,121.0786093,,,,,,,Administrative data
National Government Center Lying-In Clinic,"MRB Compound, Pilot Drive, Brgy. Commonwealth",Commonwealth,2.0,Health centers,,LGU-run lying-in clinic,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6971113,121.0783279,,,,,,,Administrative data
National Government Center Super,"MRB, Phase 1 Pilot Drive, Brgy. Commonwealth",Commonwealth,2.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6957377,121.0786093,,,,,,,Administrative data
National Kidney and Transplant Institute,"East Avenue, Diliman",Central,4.0,Health centers,,National government-owned hospital,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6473447,121.0473288,,,,,,,Administrative data
North Fairview,"Avon St., North Fairview Park Subd., Brgy. North Fairview",North Fairview,5.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.708807,121.0629935,,,,,,,Administrative data
Novaliches District Hospital,"683 Quirino Highway, Barangay San Bartolome, Novaliches",San Bartolome,5.0,Health centers,,LGU-run hospital,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.704737,121.0375329,,,,,,,Administrative data
Old Balara (Main),"19 Doña Filomena St., Villa Beatriz, Brgy. Old Balara",Matandang Balara,3.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6716427,121.074486,,,,,,,Administrative data
Paltok,"14 Matias St., Brgy. Paltok",Paltok,1.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6424811,121.0217336,,,,,,,Administrative data
Pansol,"Plaza St., Brgy. Pansol",Pansol,3.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6516314,121.0808034,,,,,,,Administrative data
Payatas A,"Ilang-Ilang St., Brgy. Payatas",Payatas,2.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.7005886,121.0956415,,,,,,,Administrative data
Payatas B,"Bulacan St., Brgy. Payatas",Payatas,2.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.7161684,121.1016896,,,,,,,Administrative data
Payatas Super,"Molave St., Diamond Hills St., Brgy. Payatas",Payatas,2.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.7101741,121.0969393,,,,,,,Administrative data
Payatas Super Health Centers,"Diamond Hills St., Brgy. Payatas",Payatas,2.0,Health centers,,Super health care center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.7112841,121.0963251,,,,,,,Administrative data
Philippine Children’s Medical Center,"Quezon Avenue cor. Sen. Miriam Defensor-Santiago Avenue, Bagong Pag-asa",Bagong Pag-Asa,1.0,Health centers,,National government-owned hospital,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6478702785671,121.041204668962,,,,,,,Administrative data
Philippine Heart Center,"East Avenue, Diliman",Central,4.0,Health centers,,National government-owned hospital,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6441499,121.0481468,,,,,,,Administrative data
Philippine Orthopedic Center,Maria Clara cor. Banawe Street,Lourdes,1.0,Health centers,,National government-owned hospital,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6276131,121.0031984,,,,,,,Administrative data
Pinyahan,"37 Malakas St., Brgy. Pinyahan",Pinyahan,4.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6348433,121.0472835,,,,,,,Administrative data
Project 4,"Kalantiaw st. cor. P. Tuazon, Brgy. Bagumbuhay",Bagumbuhay,3.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6221725,121.0653842,,,,,,,Administrative data
Project 6,"58 Alley 3, Brgy. Project 6",Project 6,1.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6617931,121.0404695,,,,,,,Administrative data
Project 7,"39 Bansalangin St., Brgy Veterans Village",Veterans Village,1.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6540563,121.023659,,,,,,,Administrative data
Quezon City General Hospital,"Seminary Road, Barangay Bahay Toro, Project 8, QCGH",Bahay Toro,1.0,Health centers,,LGU-run hospital,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6612375,121.0181698,,,,,,,Administrative data
Quezon City Human Milk Bank,"General Hospital, Seminary Rd, Project 8, Quezon City, Metro Manila",Bahay Toro,1.0,Health centers,,Human milk bank,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6616339,121.0181447,,,,,,,Administrative data
Quirino Memorial Medical Center,"JP Rizal cor. P. Tuazon Sts, Project 4",Marilag,3.0,Health centers,,National government-owned hospital,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6222558,121.0728482,,,,,,,Administrative data
Rosario Maclang Bautista General Hospital,IBP Road Batasan Hills,Batasan Hills,2.0,Health centers,,LGU-run hospital,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6860552,121.0890724,,,,,,,Administrative data
Roxas Health Center,"Jasmin St. cor. Madre Silva St., Roxas District",Roxas,4.0,Health centers,,Health center pharmacy,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6280213,121.0212818,,,,,,,Administrative data
San Antonio,"38 San Jose, St. Brgy. San Antonio",San Antonio,1.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6489419,121.0168464,,,,,,,Administrative data
San Antonio Health Center,"38 San Jose, St. Brgy. San Antonio",San Antonio,1.0,Health centers,,Health center pharmacy,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6489419,121.0168464,,,,,,,Administrative data
San Bartolome,"Angela Covered Court, Marcus St. Doña Faustina Subd., Brgy. San Bartolome",San Bartolome,5.0,Health centers,,Health center,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.7085249,121.0243485,,,,,,,Administrative data
San Francisco Lying–In Clinic,"H. Francisco St. corner San Vicente St., Brgy. Damayan",Damayan,1.0,Health centers,,LGU-run lying-in clinic,"Data_QC Caring Cities Tracker, QC Administrative Data - Health",14.6393843,121.0146708,,,,,,,Administrative data
