barangay_id,barangay,total_polygons,C-1 MINOR COMMERCIAL ZONE,C-2 MAJOR COMMERCIAL ZONE,C-3 METROPOLITAN COMMERCIAL ZONE,CEMETERY,HISTORICAL SPOT AND SHRINE,I-1 LIGHT INTENSITY INDUSTRIAL ZONE,I-2 MEDIUM INTENSITY INDUSTRIAL ZONE,INSTITUTIONAL,PARKS AND OPEN SPACE,R-1 LOW DENSITY RESIDENTIAL ZONE,R-1-A LOW DENSITY RESIDENTIAL SUB-ZONE,R-2 MEDIUM DENSITY RESIDENTIAL ZONE,R-2-A MEDIUM DENSITY RESIDENTIAL SUB-ZONE,R-3 HIGH DENSITY RESIDENTIAL ZONE,ROAD,SOCIALIZED HOUSING,SPECIAL URBAN DEVELOPMENT ZONE,UTILITY,WATER,X
47,Kaligayahan,750,22,49,7,,,,,,,,,59,107,236,265,,,,5,
48,Kalusugan,72,,5,,,,,,10,,,,29,,,24,,,,4,
49,Kamuning,154,,51,,,,,,7,,,,,1,27,50,,2,6,10,
50,Katipunan,35,,5,,,,4,,,,,,,,10,8,,,,7,1
51,Kaunlaran,94,,47,1,,,,,2,,,,8,,,26,,,6,4,
52,Kristong Hari,67,,11,,,,,,1,,,,10,,,23,,5,,17,
53,Krus na Ligas,41,,,,,,,,17,,,,1,,,20,,,3,,
54,Laging Handa,127,,28,,,,,,1,,,,,32,,53,,13,,,
55,Libis,93,,,,,,,10,3,,,,,,,12,44,,,24,
56,Lourdes,92,15,10,,,,,,2,,,,,28,,29,,8,,,
57,Loyola Heights,274,,30,,,,,,15,,8,13,54,,20,107,,,8,19,
58,Maharlika,118,16,19,,,,,,3,,,,,27,,51,,,2,,
59,Malaya,41,7,7,,,,,,,,,,8,,,17,,,2,,
60,Mangga,27,5,5,,,,,,3,,,,,,4,4,,,,6,
61,Manresa,151,1,16,,,,,32,1,,,,,,19,61,3,14,,4,
62,Mariana,169,,20,,,,,,7,,49,,15,,,75,,,,3,
63,Mariblo,46,,2,,,,,,,,,,,,21,21,,,,2,
64,Marilag,145,30,9,,,,,,4,,,,,,47,55,,,,,
65,Masagana,31,,,,,,,,,,,,,,14,15,,,,2,
66,Masambong,110,10,3,,,,10,3,2,,,,,,36,39,,,,7,
67,Matandang Balara,373,9,21,3,,,,,2,,24,,35,,81,161,,,13,24,
68,Milagrosa,74,9,10,,,,,,2,,,,,,23,27,,,,3,
69,Nagkaisang Nayon,641,,13,,,,,162,,,,,18,,190,224,15,,,19,
70,Nayong Kanluran,43,2,7,,,,,,,,,,9,,,15,,,,10,
71,New Era,103,6,14,,,,,,23,,,,29,,,29,,,,2,
72,North Fairview,494,10,33,,,,,,,,,,35,93,109,196,,,,18,
73,Novaliches Proper,247,6,15,20,1,,,16,,,,,,,98,73,,,,18,
