,barangay,name_original,address,district,major_division,sub_division,category,data_source,address_clean,latitude,longitude,open_hours,close_hours
46,Holy Spirit,Kaligtasan,"120 Don Vicente Kaligtasan St., Brgy. Holy Spirit",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","120 Don Vicente Kaligtasan Street, Barangay Holy Spirit, Quezon City, Philippines",14.67707351,121.0775547,#N/A,#N/A
47,Holy Spirit,Barangay Complex,"Don Faustino St., (inside Barangay Hall compound) Brgy. Holy Spirit",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Don Faustino Street, (inside Barangay Hall compound) Barangay Holy Spirit, Quezon City, Philippines",14.6821557,121.0785305,#N/A,#N/A
48,Holy Spirit,Kasiyahan,"Kasiyahan Covered Court, Brgy. Holy Spirit",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Kasiyahan Covered Court, Barangay Holy Spirit, Quezon City, Philippines",14.683899,121.076458,#N/A,#N/A
49,Holy Spirit,Sto. Niño,"Side of Sto. Niño Covered Court, Brgy. Holy Spirit",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Side of Sto. Niño Covered Court, Barangay Holy Spirit, Quezon City, Philippines",14.6915137,121.0798184,#N/A,#N/A
50,Holy Spirit,Mapayapa,"Area 7 Nawasa Line, Brgy. Holy Spirit",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Area 7 Nawasa Line, Barangay Holy Spirit, Quezon City, Philippines",14.6821557,121.0785305,#N/A,#N/A
51,Holy Spirit,Sto. Domingo,"Republic Chapel (inside the gate), Brgy. Holy Spirit",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Republic Chapel (inside the gate), Barangay Holy Spirit, Quezon City, Philippines",14.6821557,121.0785305,#N/A,#N/A
52,Holy Spirit,St. Catherine,"St. Catherine St., Brgy. Holy Spirit",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Street Catherine Street, Barangay Holy Spirit, Quezon City, Philippines",14.65497911,121.0131523,#N/A,#N/A
53,Holy Spirit,Zebra,"San Simon St. (back of Brgy. Annex), Brgy. Holy Spirit",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","San Simon Street (back of Barangay Annex), Barangay Holy Spirit, Quezon City, Philippines",14.6898722,121.0849414,#N/A,#N/A
54,Batasan Hills,Jasmin,"Lot 35-A, Jasmin St., Brgy. Batasan Hills",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Lot 35-A, Jasmin Street, Barangay Batasan Hills, Quezon City, Philippines",14.6868313,121.0718489,#N/A,#N/A
55,Batasan Hills,Luzviminda,"Luzviminda Subd., Brgy. Batasan Hills",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Luzviminda Subdivision, Barangay Batasan Hills, Quezon City, Philippines",14.6865607,121.0949927,#N/A,#N/A
56,Batasan Hills,Talanay,"31 Alton St., Sitio Talanay, Brgy. Batasan Hills",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","31 Alton Street, Sitio Talanay, Barangay Batasan Hills, Quezon City, Philippines",14.68822199,121.108423,#N/A,#N/A
57,Batasan Hills,Area 3 Sitio Talanay,"Lot 16 Block 26 Ground Floor, Precious Complex, Area 3 Sitio Talanay, Brgy. Batasan Hills",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Lot 16 Block 26 Ground Floor, Precious Complex, Area 3 Sitio Talanay, Barangay Batasan Hills, Quezon City, Philippines",14.6847203,121.0977359,#N/A,#N/A
58,Batasan Hills,Pook Pag-asa,"B1 L21 Pook Pagasa St., Brgy. Batasan Hills",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","B1 L21 Pook Pagasa Street, Barangay Batasan Hills, Quezon City, Philippines",14.69295507,121.0981922,#N/A,#N/A
59,Batasan Hills,Kalayaan B1,"Lot No. 41-C-3, Kalayaan B St., Brgy. Batasan Hills",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Lot 41-C-3, Kalayaan B Street, Barangay Batasan Hills, Quezon City, Philippines",14.68877871,121.0929834,#N/A,#N/A
60,Batasan Hills,Kalayaan B2,"Lot No. 41-C-3, Kalayaan B St., Brgy. Batasan Hills",2,Childcare,Public,Child development centers,"Data_QC Caring Cities Tracker, QC Administrative Data - Child","Lot 41-C-3, Kalayaan B Street, Barangay Batasan Hills, Quezon City, Philippines",14.68877871,121.0929834,#N/A,#N/A
