name_original,address,address_clean,barangay,district,major_division,sub_division,category,source_reference,open_hours,close_hours,longitude,latitude,frequency_mon_fri,frequency_saturday,frequency_sunday,bus_route,data_source
Einstein School for Kids,"B68L30, Hermano Mayor St., Greater Lagro, Nova., QC","B68L30, Hermano Mayor Street, Greater Lagro, Nova., Quezon City, Philippines",Greater Lagro,5.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0709076,14.7309344,,,,,Administrative data
"ELUEL Shemea Christian Academy, Inc.","251 Mc. Arthur St., Area 1, Veterans Vill. Brgy. Pasong Tamo, QC","251 Mc. Arthur Street, Area 1, Veterans Village Barangay Pasong Tamo, Quezon City, Philippines",Pasong Tamo,6.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0660038,14.677202,,,,,Administrative data
"ELUEL Shemea Christian Academy, Inc.","251 Mc. Arthur St., Area 1, Veterans Vill. Brgy. Pasong Tamo, QC","251 Mc. Arthur Street, Area 1, Veterans Village Barangay Pasong Tamo, Quezon City, Philippines",Pasong Tamo,6.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0660038,14.677202,,,,,Administrative data
"ELUEL Shemea Christian Academy, Inc.","251 Mc. Arthur St., Area 1, Veterans Vill. Brgy. Pasong Tamo, QC","251 Mc. Arthur Street, Area 1, Veterans Village Barangay Pasong Tamo, Quezon City, Philippines",Pasong Tamo,6.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0660038,14.677202,,,,,Administrative data
Elyseum Christian School Inc.,"24 Road 23, Brgy. Bahay Toro, QC","24 Road 23, Barangay Bahay Toro, Quezon City, Philippines",Bahay Toro,1.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0190047,14.6685151,,,,,Administrative data
Elyseum Christian School Inc.,"24 Road 23, Brgy. Bahay Toro, QC","24 Road 23, Barangay Bahay Toro, Quezon City, Philippines",Bahay Toro,1.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0190047,14.6685151,,,,,Administrative data
Elyseum Christian School Inc.,"24 Road 23, Brgy. Bahay Toro, QC","24 Road 23, Barangay Bahay Toro, Quezon City, Philippines",Bahay Toro,1.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0190047,14.6685151,,,,,Administrative data
Emilio Jacinto National High School,,,Pasong Tamo,6.0,Schools,Public,High school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.0529972,14.6776021,,,,,Administrative data
"Ephesians Christian Academy of Quezon City, Inc.","D' Virs Bldg., No. 184-A Kapiligan St, Brgy. Dona Imelda, QC","D' Virs Building, 184-A Kapiligan St, Barangay Dona Imelda, Quezon City, Philippines",Doña Imelda,4.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.016575,14.61829,,,,,Administrative data
"Ephesians Christian Academy of Quezon City, Inc.","D' Virs Bldg., No. 184-A Kapiligan St, Brgy. Dona Imelda, QC","D' Virs Building, 184-A Kapiligan St, Barangay Dona Imelda, Quezon City, Philippines",Doña Imelda,4.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.016575,14.61829,,,,,Administrative data
"Ephesians Christian Academy of Quezon City, Inc.","D' Virs Bldg., No. 184-A Kapiligan St, Brgy. Dona Imelda, QC","D' Virs Building, 184-A Kapiligan St, Barangay Dona Imelda, Quezon City, Philippines",Doña Imelda,4.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.016575,14.61829,,,,,Administrative data
Ernesto Rondon HS,,,Project 6,1.0,Schools,Public,High school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.0377083,14.6643597,,,,,Administrative data
"Escuela De Corazon of QC, Inc.","B2L6 Magsaysay Ave., Doña Faustina, Brgy San Bartolome, QC","B2L6 Magsaysay Avenue, Doña Faustina, Barangay San Bartolome, Quezon City, Philippines",San Bartolome,5.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0281606,14.7104667,,,,,Administrative data
"Escuela De Corazon of QC, Inc.","B2L6 Magsaysay Ave., Doña Faustina, Brgy San Bartolome, QC","B2L6 Magsaysay Avenue, Doña Faustina, Barangay San Bartolome, Quezon City, Philippines",San Bartolome,5.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0281606,14.7104667,,,,,Administrative data
"Escuela De Corazon of QC, Inc.","B2L6 Magsaysay Ave., Doña Faustina, Brgy San Bartolome, QC","B2L6 Magsaysay Avenue, Doña Faustina, Barangay San Bartolome, Quezon City, Philippines",San Bartolome,5.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0281606,14.7104667,,,,,Administrative data
"estar castle integrated school, inc.","1817-a, ecols, commonwealth, quezon city, ncr, 1121","1817-a, ecols, commonwealth, quezon city, ncr, 1121, Philippines",Commonwealth,2.0,Schools,Private,Private school,"QC Future Ready dashboard, Schools",8:00 AM,5:00 PM,121.074724,14.701015,,,,,Administrative data
"Estar Castle Integrated School, Inc.","L817, A. Ecols St. Don Fabian, Brgy. Comm. QC","L817, A. Ecols Street Don Fabian, Barangay Comm. Quezon City, Philippines",Commonwealth,2.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0834374,14.7009244,,,,,Administrative data
"Estar Castle Integrated School, Inc.","L817, A. Ecols St. Don Fabian, Brgy. Comm. QC","L817, A. Ecols Street Don Fabian, Barangay Comm. Quezon City, Philippines",Commonwealth,2.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0834374,14.7009244,,,,,Administrative data
Esteban Abada ES,,,Veterans Village,1.0,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.0246532,14.65418,,,,,Administrative data
"Eugenio Lopez Jr. Center for Media Arts, Senior High School",,,Sacred Heart,4.0,Schools,Public,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.0366586,14.6290784,,,,,Administrative data
"Eulogio Rodriguez, Jr. HS",,,E. Rodriguez,3.0,Schools,Public,High school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,120.9942441,14.6330534,,,,,Administrative data
"Eulogio Rodriguez, Sr. ES",,,E. Rodriguez,3.0,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.0540873,14.6298159,,,,,Administrative data
ezr learning institute inc.,"568, a. bonifacio street, bagong silangan, quezon city, ncr, 1119","568, a. bonifacio street, bagong silangan, quezon city, ncr, 1119, Philippines",Bagong Silangan,2.0,Schools,Private,Private school,"QC Future Ready dashboard, Schools",6:31 AM,4:00 PM,121.1109931,14.6973428,,,,,Administrative data
"Fairvew Baptist Academy, Inc","B2 L2 Windsor cor. Peacock Sts., Fairview, QC","B2 L2 Windsor corner Peacock Sts., Fairview, Quezon City, Philippines",Fairview,5.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0758187,14.7037483,,,,,Administrative data
"Fairvew Baptist Academy, Inc","B2 L2 Windsor cor. Peacock Sts., Fairview, QC","B2 L2 Windsor corner Peacock Sts., Fairview, Quezon City, Philippines",Fairview,5.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0758187,14.7037483,,,,,Administrative data
"Fairvew Baptist Academy, Inc","B2 L2 Windsor cor. Peacock Sts., Fairview, QC","B2 L2 Windsor corner Peacock Sts., Fairview, Quezon City, Philippines",Fairview,5.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0758187,14.7037483,,,,,Administrative data
"Fairvew Baptist Academy, Inc","B2 L2 Windsor cor. Peacock Sts., Fairview, QC","B2 L2 Windsor corner Peacock Sts., Fairview, Quezon City, Philippines",Fairview,5.0,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0758187,14.7037483,,,,,Administrative data
Fairview ES,,,Fairview,5.0,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.0666966,14.7088518,,,,,Administrative data
Falcon Lrng. Ctr.,"25 Falcon St., Fairview Park, Subd. West Fairview, QC","25 Falcon Street, Fairview Park, Subdivision West Fairview, Quezon City, Philippines",Fairview,5.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0662273,14.7018028,,,,,Administrative data
Falcon Lrng. Ctr.,"25 Falcon St., Fairview Park, Subd. West Fairview, QC","25 Falcon Street, Fairview Park, Subdivision West Fairview, Quezon City, Philippines",Fairview,5.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0662273,14.7018028,,,,,Administrative data
Family Mont. Preschool,"E. Abada St., Loyola Heights, QC","E. Abada Street, Loyola Heights, Quezon City, Philippines",Loyola Heights,3.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0729769,14.6380107,,,,,Administrative data
Fernando C. Amorsolo SHS,,,Kamuning,4.0,Schools,Public,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.0441756,14.6286684,,,,,Administrative data
Fiore Del Carmelo School,"#6 Doña Lucia St., Doña Carmin Subd., Brgy. Comm., QC","6 Doña Lucia Street, Doña Carmin Subdivision, Barangay Comm., Quezon City, Philippines",Commonwealth,2.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0840856,14.7077839,,,,,Administrative data
Fiore Del Carmelo School,"#6 Doña Lucia St., Doña Carmin Subd., Brgy. Comm., QC","6 Doña Lucia Street, Doña Carmin Subdivision, Barangay Comm., Quezon City, Philippines",Commonwealth,2.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0840856,14.7077839,,,,,Administrative data
Fiore Del Carmelo School,"#6 Doña Lucia St., Doña Carmin Subd., Brgy. Comm., QC","6 Doña Lucia Street, Doña Carmin Subdivision, Barangay Comm., Quezon City, Philippines",Commonwealth,2.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0840856,14.7077839,,,,,Administrative data
Fiore Del Carmelo School,"#6 Doña Lucia St., Doña Carmin Subd., Brgy. Comm., QC","6 Doña Lucia Street, Doña Carmin Subdivision, Barangay Comm., Quezon City, Philippines",Commonwealth,2.0,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0840856,14.7077839,,,,,Administrative data
First Mile Christian School,"Peseta Corner Riyal St., Phase 8, North Fairview, QC","Peseta Corner Riyal Street, Phase 8, North Fairview, Quezon City, Philippines",Fairview,5.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,,,,,,,Administrative data
First Mile Christian School,"Peseta Corner Riyal St., Phase 8, North Fairview, QC","Peseta Corner Riyal Street, Phase 8, North Fairview, Quezon City, Philippines",Fairview,5.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,,,,,,,Administrative data
First Mile Christian School,"Peseta Corner Riyal St., Phase 8, North Fairview, QC","Peseta Corner Riyal Street, Phase 8, North Fairview, Quezon City, Philippines",Fairview,5.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,,,,,,,Administrative data
first mile christian school of life in the light christian fellowship,"385, l1, riyal st. cor peseta st., north fairview, quezon city, ncr, 1121","385, l1, riyal Street corner peseta Street, north fairview, quezon city, ncr, 1121, Philippines",North Fairview,5.0,Schools,Private,Private school,"QC Future Ready dashboard, Schools",8:00 AM,6:00 PM,121.0586926,14.7107374,,,,,Administrative data
"Flor De Grace School, Inc.","#74-A Gold St., Commonwealth, QC","74-A Gold Street, Commonwealth, Quezon City, Philippines",Commonwealth,2.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0813792,14.6971031,,,,,Administrative data
Flora A. Ylagan HS,,,Pinyahan,4.0,Schools,Public,High school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.047376,14.636178,,,,,Administrative data
"Foothills Christian School, Inc.","Resolution Rd., Area C, Talanay, Batasan Hills, QC","Resolution Road, Area C, Talanay, Batasan Hills, Quezon City, Philippines",Batasan Hills,2.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0988982,14.6826438,,,,,Administrative data
Footsteps Learning Center,"81 Molave St., Brgy. Duyan-Duyan, Proj.3, QC","81 Molave Street, Barangay Duyan-Duyan, Proj.3, Quezon City, Philippines",Duyan-duyan,3.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0672633,14.6295069,,,,,Administrative data
Footsteps Learning Center,"81 Molave St., Brgy. Duyan-Duyan, Proj.3, QC","81 Molave Street, Barangay Duyan-Duyan, Proj.3, Quezon City, Philippines",Duyan-duyan,3.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0672633,14.6295069,,,,,Administrative data
Fort Aguinaldo ES,,,Camp Aguinaldo,3.0,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.0619947,14.6012214,,,,,Administrative data
Fourthwatch Maranatha Christian Academy of Quezon City Inc.,"59-A Dangay St., Veterans Village, Proj. 7, QC","59-A Dangay Street, Veterans Village, Proj. 7, Quezon City, Philippines",Veterans Village,1.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.023126,14.65608,,,,,Administrative data
Fourthwatch Maranatha Christian Academy of Quezon City Inc.,"59-A Dangay St., Veterans Village, Proj. 7, QC","59-A Dangay Street, Veterans Village, Proj. 7, Quezon City, Philippines",Veterans Village,1.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.023126,14.65608,,,,,Administrative data
Fremont Learning Center,"20 Matino St., Brgy. Pinyahan, Diliman, QC","20 Matino Street, Barangay Pinyahan, Diliman, Quezon City, Philippines",Pinyahan,4.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,,,,,,,Administrative data
Fremont Learning Center,"20 Matino St., Brgy. Pinyahan, Diliman, QC","20 Matino Street, Barangay Pinyahan, Diliman, Quezon City, Philippines",Pinyahan,4.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,,,,,,,Administrative data
"Gardner College Diliman, Inc.","#29 Archipelago Building, North Avenue, Diliman, Quezon City","29 Archipelago Building, North Avenue, Diliman, Quezon City, Philippines",,1.0,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0394974,14.6536633,,,,,Administrative data
Gateways Institute of Science & Technology,"2nd Herminia Bldg, Brgy Greater Fairview, Comm. QC","2nd Herminia Bldg, Barangay Greater Fairview, Comm. Quezon City, Philippines",Fairview,5.0,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,,,,,,,Administrative data
General Roxas Elementary School,,,Roxas,4.0,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.0222214,14.6277548,,,,,Administrative data
"Gideon School of Quezon City, Inc.","47 Veterans Ave., Holy Spirit, QC","47 Veterans Avenue, Holy Spirit, Quezon City, Philippines",Holy Spirit,2.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0737987,14.6850838,,,,,Administrative data
"Gideon School of Quezon City, Inc.","47 Veterans Ave., Holy Spirit, QC","47 Veterans Avenue, Holy Spirit, Quezon City, Philippines",Holy Spirit,2.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0737987,14.6850838,,,,,Administrative data
Giovanni Battista Leonardi School,"28 A. Paltok St., Brgy. Pansol Diliman, QC","28 A. Paltok Street, Barangay Pansol Diliman, Quezon City, Philippines",Paltok,1.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,,,,,,,Administrative data
Giovanni Battista Leonardi School,"28 A. Paltok St., Brgy. Pansol Diliman, QC","28 A. Paltok Street, Barangay Pansol Diliman, Quezon City, Philippines",Paltok,1.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,,,,,,,Administrative data
Giovanni Battista Leonardi School,"28 A. Paltok St., Brgy. Pansol Diliman, QC","28 A. Paltok Street, Barangay Pansol Diliman, Quezon City, Philippines",Paltok,1.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,,,,,,,Administrative data
Glendale School,"69 Shorthorn St., Brgy. Bahay Toro, Proj. 8, Quezon City","69 Shorthorn Street, Barangay Bahay Toro, Proj. 8, Quezon City, Philippines",Bahay Toro,1.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0199084,14.6688658,,,,,Administrative data
Glendale School,"69 Shorthorn St., Brgy. Bahay Toro, Proj. 8, Quezon City","69 Shorthorn Street, Barangay Bahay Toro, Proj. 8, Quezon City, Philippines",Bahay Toro,1.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0199084,14.6688658,,,,,Administrative data
Glendale School,"69 Shorthorn St., Brgy. Bahay Toro, Proj. 8, Quezon City","69 Shorthorn Street, Barangay Bahay Toro, Proj. 8, Quezon City, Philippines",Bahay Toro,1.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0199084,14.6688658,,,,,Administrative data
Glendale School,"69 Shorthorn St., Brgy. Bahay Toro, Proj. 8, Quezon City","69 Shorthorn Street, Barangay Bahay Toro, Proj. 8, Quezon City, Philippines",Bahay Toro,1.0,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0199084,14.6688658,,,,,Administrative data
Global Minds Academy of the Philipiines -,"602 G. Araneta Ave., Tatalon, QC","602 G. Araneta Avenue, Tatalon, Quezon City, Philippines",Tatalon,4.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.015339,14.62052,,,,,Administrative data
Global Minds Academy of the Philipiines -,"602 G. Araneta Ave., Tatalon, QC","602 G. Araneta Avenue, Tatalon, Quezon City, Philippines",Tatalon,4.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.015339,14.62052,,,,,Administrative data
Global Minds Academy of the Philipiines -,"602 G. Araneta Ave., Tatalon, QC","602 G. Araneta Avenue, Tatalon, Quezon City, Philippines",Tatalon,4.0,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.015339,14.62052,,,,,Administrative data
Global Minds Academy of the Philipiines -,"602 G. Araneta Ave., Tatalon, QC","602 G. Araneta Avenue, Tatalon, Quezon City, Philippines",Tatalon,4.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.015339,14.62052,,,,,Administrative data
Golden Lamp School of QC,"082 Gold St., Brgy. Commonwealth, Q.C.","082 Gold Street, Barangay Commonwealth, Quezon City, Philippines",Commonwealth,2.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0815617,14.6967415,,,,,Administrative data
Golden Lamp School of QC,"082 Gold St., Brgy. Commonwealth, Q.C.","082 Gold Street, Barangay Commonwealth, Quezon City, Philippines",Commonwealth,2.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0815617,14.6967415,,,,,Administrative data
Golden Lamp School of QC,"082 Gold St., Brgy. Commonwealth, Q.C.","082 Gold Street, Barangay Commonwealth, Quezon City, Philippines",Commonwealth,2.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0815617,14.6967415,,,,,Administrative data
Golden Link College Foundation,"1 Iba Corner P. Florentino St. Brgy. Sta. Teresita, QC","1 Iba Corner P. Florentino Street Barangay Sta. Teresita, Quezon City, Philippines",Sta. Teresita,1.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0033518,14.619881,,,,,Administrative data
Golden Link College Foundation,"1 Iba Corner P. Florentino St. Brgy. Sta. Teresita, QC","1 Iba Corner P. Florentino Street Barangay Sta. Teresita, Quezon City, Philippines",Sta. Teresita,1.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0033518,14.619881,,,,,Administrative data
Golden Link College Foundation,"1 Iba Corner P. Florentino St. Brgy. Sta. Teresita, QC","1 Iba Corner P. Florentino Street Barangay Sta. Teresita, Quezon City, Philippines",Sta. Teresita,1.0,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0033518,14.619881,,,,,Administrative data
Golden Link College Foundation,"1 Iba Corner P. Florentino St. Brgy. Sta. Teresita, QC","1 Iba Corner P. Florentino Street Barangay Sta. Teresita, Quezon City, Philippines",Sta. Teresita,1.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0033518,14.619881,,,,,Administrative data
Golden Rock Preparatory School,"Mango St., Brgy. Commonwealth, Quezon City","Mango Street, Barangay Commonwealth, Quezon City, Philippines",Commonwealth,2.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,,,,,,,Administrative data
Golden Rock Preparatory School,"Mango St., Brgy. Commonwealth, Quezon City","Mango Street, Barangay Commonwealth, Quezon City, Philippines",Commonwealth,2.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,,,,,,,Administrative data
Golden Valley Academy,"61 Joyville Subd., Brgy. San Agustin, Nova., QC","61 Joyville Subdivision, Barangay San Agustin, Nova., Quezon City, Philippines",San Agustin,5.0,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0342767,14.7343263,,,,,Administrative data
Golden Valley Academy,"61 Joyville Subd., Brgy. San Agustin, Nova., QC","61 Joyville Subdivision, Barangay San Agustin, Nova., Quezon City, Philippines",San Agustin,5.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0342767,14.7343263,,,,,Administrative data
Golden Valley Academy,"61 Joyville Subd., Brgy. San Agustin, Nova., QC","61 Joyville Subdivision, Barangay San Agustin, Nova., Quezon City, Philippines",San Agustin,5.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0342767,14.7343263,,,,,Administrative data
Golden Valley Academy,"61 Joyville Subd., Brgy. San Agustin, Nova., QC","61 Joyville Subdivision, Barangay San Agustin, Nova., Quezon City, Philippines",San Agustin,5.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0342767,14.7343263,,,,,Administrative data
"Golden Values School, Inc","1030 F Salvador Ave., Brgy. Sta. Monica., Nova., QC","1030 F Salvador Avenue, Barangay Sta. Monica., Nova., Quezon City, Philippines",Sta. Monica,5.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0445766,14.7242068,,,,,Administrative data
"Golden Values School, Inc","1030 F Salvador Ave., Brgy. Sta. Monica., Nova., QC","1030 F Salvador Avenue, Barangay Sta. Monica., Nova., Quezon City, Philippines",Sta. Monica,5.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0445766,14.7242068,,,,,Administrative data
"Golden Values School, Inc","1030 F Salvador Ave., Brgy. Sta. Monica., Nova., QC","1030 F Salvador Avenue, Barangay Sta. Monica., Nova., Quezon City, Philippines",Sta. Monica,5.0,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0445766,14.7242068,,,,,Administrative data
"Golden Values School, Inc","1030 F Salvador Ave., Brgy. Sta. Monica., Nova., QC","1030 F Salvador Avenue, Barangay Sta. Monica., Nova., Quezon City, Philippines",Sta. Monica,5.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0445766,14.7242068,,,,,Administrative data
Golden Vineyard School,"San Vicente St., UCCP Compd., Filinvest II, Brgy. Bagong Silangan, QC","San Vicente Street, UCCP Compd., Filinvest II, Barangay Bagong Silangan, Quezon City, Philippines",Bagong Silangan,2.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.1035335,14.7023984,,,,,Administrative data
Golden Vineyard School,"San Vicente St., UCCP Compd., Filinvest II, Brgy. Bagong Silangan, QC","San Vicente Street, UCCP Compd., Filinvest II, Barangay Bagong Silangan, Quezon City, Philippines",Bagong Silangan,2.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.1035335,14.7023984,,,,,Administrative data
Golden Vineyard School,"San Vicente St., UCCP Compd., Filinvest II, Brgy. Bagong Silangan, QC","San Vicente Street, UCCP Compd., Filinvest II, Barangay Bagong Silangan, Quezon City, Philippines",Bagong Silangan,2.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.1035335,14.7023984,,,,,Administrative data
Good Samaritan Christian School,"915 Quezon Ave., brgy. Sta. Cruz, Q.C.","915 Quezon Avenue, Barangay Sta. Cruz, Quezon City, Philippines",Sta. Cruz,1.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0173164,14.6319869,,,,,Administrative data
Good Samaritan Christian School,"915 Quezon Ave., brgy. Sta. Cruz, Q.C.","915 Quezon Avenue, Barangay Sta. Cruz, Quezon City, Philippines",Sta. Cruz,1.0,Schools,Private,Special Education Program,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0173164,14.6319869,,,,,Administrative data
Good Samaritan Christian School,"915 Quezon Ave., brgy. Sta. Cruz, Q.C.","915 Quezon Avenue, Barangay Sta. Cruz, Quezon City, Philippines",Sta. Cruz,1.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0173164,14.6319869,,,,,Administrative data
Good Shepherd Cathedral School,"Omega Ave., Dor. Rado St., Fairview Subd., QC","Omega Avenue, Dor. Rado Street, Fairview Subdivision, Quezon City, Philippines",Fairview,5.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0652889,14.6971485,,,,,Administrative data
Good Shepherd Cathedral School,"Omega Ave., Dor. Rado St., Fairview Subd., QC","Omega Avenue, Dor. Rado Street, Fairview Subdivision, Quezon City, Philippines",Fairview,5.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0652889,14.6971485,,,,,Administrative data
