name_original,address,address_clean,barangay,district,major_division,sub_division,category,source_reference,open_hours,close_hours,longitude,latitude,frequency_mon_fri,frequency_saturday,frequency_sunday,bus_route,data_source
Philippine Montessori Center,"27 Queensville St., Whiteplains, Quezon City","27 Queensville Street, Whiteplains, Quezon City, Philippines",White Plains,3.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.072835,14.605951,,,,,Administrative data
Philippines Womens University - (Frmly JASMS),"51# Congessional Ave., Cor. Villa Socorro, Brgy Bahay Toro, QC","51 Congessional Avenue, corner Villa Socorro, Barangay Bahay Toro, Quezon City, Philippines",Bahay Toro,1.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0382954,14.6708129,,,,,Administrative data
Philippines Womens University - (Frmly JASMS),"51# Congessional Ave., Cor. Villa Socorro, Brgy Bahay Toro, QC","51 Congessional Avenue, corner Villa Socorro, Barangay Bahay Toro, Quezon City, Philippines",Bahay Toro,1.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0382954,14.6708129,,,,,Administrative data
Philippines Womens University - (Frmly JASMS),"51# Congessional Ave., Cor. Villa Socorro, Brgy Bahay Toro, QC","51 Congessional Avenue, corner Villa Socorro, Barangay Bahay Toro, Quezon City, Philippines",Bahay Toro,1.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0382954,14.6708129,,,,,Administrative data
Philippines Womens University - (Frmly JASMS),"51# Congessional Ave., Cor. Villa Socorro, Brgy Bahay Toro, QC","51 Congessional Avenue, corner Villa Socorro, Barangay Bahay Toro, Quezon City, Philippines",Bahay Toro,1.0,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0382954,14.6708129,,,,,Administrative data
Piagetian Guided Educational Center,"#95 Scout Reyes St., Brgy. Paligsahan, QC","95 Scout Reyes Street, Barangay Paligsahan, Quezon City, Philippines",Paligsahan,4.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0261691,14.6337756,,,,,Administrative data
Piagetian Guided Educational Center,"#95 Scout Reyes St., Brgy. Paligsahan, QC","95 Scout Reyes Street, Barangay Paligsahan, Quezon City, Philippines",Paligsahan,4.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0261691,14.6337756,,,,,Administrative data
Pinyahan ES,,,Pinyahan,4.0,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.050469,14.638309,,,,,Administrative data
Placido del Mundo ES,,,Talipapa,6.0,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.0252308,14.6872945,,,,,Administrative data
"PMI COLLEGES , Inc",73 Roosevelt Avenue SFDM Quezon City,"73 Roosevelt Avenue SFDM Quezon City, Philippines",,1.0,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0177029,14.6341048,,,,,Administrative data
"PMW School, Inc. - (Frmly PMWA Lrng. Ctr.)","59 Matatag St., Brgy. Pinyahan, QC","59 Matatag Street, Barangay Pinyahan, Quezon City, Philippines",Pinyahan,4.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0486655,14.6376494,,,,,Administrative data
"PMW School, Inc. - (Frmly PMWA Lrng. Ctr.)","59 Matatag St., Brgy. Pinyahan, QC","59 Matatag Street, Barangay Pinyahan, Quezon City, Philippines",Pinyahan,4.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0486655,14.6376494,,,,,Administrative data
"PMW School, Inc. - (Frmly PMWA Lrng. Ctr.)","59 Matatag St., Brgy. Pinyahan, QC","59 Matatag Street, Barangay Pinyahan, Quezon City, Philippines",Pinyahan,4.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0486655,14.6376494,,,,,Administrative data
Ponciano A. Bernardo High School,,,Kaunlaran,4.0,Schools,Public,High school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.0493891,14.6140133,,,,,Administrative data
Ponciano Bernardo ES,,,Kaunlaran,4.0,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.0493031,14.6144723,,,,,Administrative data
Positive Thinker Learning Center Inc.,"No. 32 Riverview Drive, Blueridge B. QC.","32 Riverview Drive, Blueridge B. Quezon City., Philippines",Blue Ridge B,3.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0774573,14.6179601,,,,,Administrative data
Positive Thinker Learning Center Inc.,"No. 32 Riverview Drive, Blueridge B. QC.","32 Riverview Drive, Blueridge B. Quezon City., Philippines",Blue Ridge B,3.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0774573,14.6179601,,,,,Administrative data
Precious Lrng. Institute,"1 Kagawad Rd., Talanay A. Batasan Hills, QC","1 Kagawad Road, Talanay A. Batasan Hills, Quezon City, Philippines",Batasan Hills,2.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.099086,14.683621,,,,,Administrative data
Precious Lrng. Institute,"1 Kagawad Rd., Talanay A. Batasan Hills, QC","1 Kagawad Road, Talanay A. Batasan Hills, Quezon City, Philippines",Batasan Hills,2.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.099086,14.683621,,,,,Administrative data
Precious Lrng. Institute,"1 Kagawad Rd., Talanay A. Batasan Hills, QC","1 Kagawad Road, Talanay A. Batasan Hills, Quezon City, Philippines",Batasan Hills,2.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.099086,14.683621,,,,,Administrative data
Pres. Corazon C. Aquino ES,,,Batasan Hills,2.0,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",,,121.093262,14.6892666,,,,,Administrative data
"Prime Montessori School, Inc.","B76L67, Asension Rd., Lagro, QC","B76L67, Asension Road, Lagro, Quezon City, Philippines",Greater Lagro,5.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0675179,14.7324769,,,,,Administrative data
"Prime Montessori School, Inc.","B76L67, Asension Rd., Lagro, QC","B76L67, Asension Road, Lagro, Quezon City, Philippines",Greater Lagro,5.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0675179,14.7324769,,,,,Administrative data
"Prime Montessori School, Inc.","B76L67, Asension Rd., Lagro, QC","B76L67, Asension Road, Lagro, Quezon City, Philippines",Greater Lagro,5.0,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0675179,14.7324769,,,,,Administrative data
"Prince Nikki School, Inc","#2718 Pinagkaisa St. Brgy Commonwealth , QC","2718 Pinagkaisa Street Barangay Commonwealth , Quezon City, Philippines",Commonwealth,2.0,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0906881,14.702503,,,,,Administrative data
"Prince Nikki School, Inc","#2718 Pinagkaisa St. Brgy Commonwealth , QC","2718 Pinagkaisa Street Barangay Commonwealth , Quezon City, Philippines",Commonwealth,2.0,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",,,121.0906881,14.702503,,,,,Administrative data
