,name_original,address,address_clean,barangay,district,major_division,sub_division,category,source_reference,open_hours,close_hours,longitude,latitude,frequency_mon_fri,frequency_saturday,frequency_sunday,bus_route,data_source
30,Active Thinkers Child Development Center Inc.,"41 Mustang St., Greater Fairview, Quezon City","41 Mustang Street, Greater Fairview, Quezon City, Philippines",Fairview,5,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0662275,14.7046739,#N/A,#N/A,#N/A,#N/A,Administrative data
32,"Adonia School of the Kingdom of QC., Inc.","22 Saret Talanay A., Batasan Hills, QC","22 Saret Talanay A., Batasan Hills, Quezon City, Philippines",Batasan Hills,2,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0995511,14.685481,#N/A,#N/A,#N/A,#N/A,Administrative data
33,"Adonia School of the Kingdom of QC., Inc.","22 Saret Talanay A., Batasan Hills, QC","22 Saret Talanay A., Batasan Hills, Quezon City, Philippines",Batasan Hills,2,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0995511,14.685481,#N/A,#N/A,#N/A,#N/A,Administrative data
34,"Adonia School of the Kingdom of QC., Inc.","22 Saret Talanay A., Batasan Hills, QC","22 Saret Talanay A., Batasan Hills, Quezon City, Philippines",Batasan Hills,2,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0995511,14.685481,#N/A,#N/A,#N/A,#N/A,Administrative data
36,Aguinaldo Elementary School,#N/A,#N/A,San Roque,3,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",#N/A,#N/A,121.0632726,14.6172413,#N/A,#N/A,#N/A,#N/A,Administrative data
37,Aim High Learning School,"B11L39, Sugartown Subdivision, Batasan Hills, QC","B11L39, Sugartown Subdivision, Batasan Hills, Quezon City, Philippines",Batasan Hills,2,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.1000764,14.6911139,#N/A,#N/A,#N/A,#N/A,Administrative data
38,Aim High Learning School,"B11L39, Sugartown Subdivision, Batasan Hills, QC","B11L39, Sugartown Subdivision, Batasan Hills, Quezon City, Philippines",Batasan Hills,2,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.1000764,14.6911139,#N/A,#N/A,#N/A,#N/A,Administrative data
39,"AISAT COLLEGE - QUEZON CITY, INC.","Blk 2 Lot 2, Neopolitan Park, Phase 1, Greater Lagro, Quezon City","Blk 2 Lot 2, Neopolitan Park, Phase 1, Greater Lagro, Quezon City, Philippines",Greater Lagro,5,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
43,"Alternative Learning Resource School-Philippines (ALRES-Phils.), Inc.","No. 26-B Agno St., Doña Josefa, QC","26-B Agno Street, Doña Josefa, Quezon City, Philippines",Doña Josefa,4,Schools,Private,Special Education Program,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0072901,14.6209791,#N/A,#N/A,#N/A,#N/A,Administrative data
45,"AMA Basic Education - Quezon City, Inc.","Maximina St., Villa Arca Subd. Project 8, Quezon City","Maximina Street, Villa Arca Subdivision Project 8, Quezon City, Philippines",#N/A,6,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.003769,14.6651826,#N/A,#N/A,#N/A,#N/A,Administrative data
46,"AMA Basic Education - Quezon City, Inc.","Maximina St., Villa Arca Subd. Project 8, Quezon City","Maximina Street, Villa Arca Subdivision Project 8, Quezon City, Philippines",#N/A,6,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.003769,14.6651826,#N/A,#N/A,#N/A,#N/A,Administrative data
47,"AMA Basic Education - Quezon City, Inc.","Maximina St., Villa Arca Subd. Project 8, Quezon City","Maximina Street, Villa Arca Subdivision Project 8, Quezon City, Philippines",#N/A,6,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.003769,14.6651826,#N/A,#N/A,#N/A,#N/A,Administrative data
48,"AMA Basic Education - Quezon City, Inc.","Maximina St., Villa Arca Subd. Project 8, Quezon City","Maximina Street, Villa Arca Subdivision Project 8, Quezon City, Philippines",#N/A,6,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.003769,14.6651826,#N/A,#N/A,#N/A,#N/A,Administrative data
49,AMA Computer University - Fairview,"Blk 61, Lot 28-31, Bristol St. Cor. Regalado Ave., Brgy. North Fairview, Q.C.","Blk 61, Lot 28-31, Bristol Street corner Regalado Avenue, Barangay North Fairview, Quezon City, Philippines",Fairview,5,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
55,"Anima Christi Academy, Inc.","#54 Kagawad Road, Talanay, Batasan Hills, QC","54 Kagawad Road, Talanay, Batasan Hills, Quezon City, Philippines",Batasan Hills,2,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.099086,14.683621,#N/A,#N/A,#N/A,#N/A,Administrative data
56,"Anima Christi Academy, Inc.","#54 Kagawad Road, Talanay, Batasan Hills, QC","54 Kagawad Road, Talanay, Batasan Hills, Quezon City, Philippines",Batasan Hills,2,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.099086,14.683621,#N/A,#N/A,#N/A,#N/A,Administrative data
58,Another Home To Grow Lrng. Ctr.,"24 Adrian St., North Fairview Park, Q.C.","24 Adrian Street, North Fairview Park, Quezon City, Philippines",Fairview,5,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
59,APEC Schools,"Regalado H-way Cor. Bronx St., Brgy. North Fairview, QC","Regalado H-way corner Bronx Street, Barangay North Fairview, Quezon City, Philippines",Fairview,5,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
60,"APEC Schools - V. Luna Avenue, Brgy. Pinyahan","No. 31 V. Luna Ave. Cor. Mabilis St., Brgy. Pinyahan, QC","31 V. Luna Avenue corner Mabilis Street, Barangay Pinyahan, Quezon City, Philippines",Pinyahan,4,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0500199,14.6373019,#N/A,#N/A,#N/A,#N/A,Administrative data
64,Apolonio Samson ES,#N/A,#N/A,Apolonio Samson,6,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",#N/A,#N/A,121.008911,14.654723,#N/A,#N/A,#N/A,#N/A,Administrative data
65,Apolonio Samson National High School,#N/A,#N/A,Apolonio Samson,6,Schools,Public,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",#N/A,#N/A,121.0114102,14.6549057,#N/A,#N/A,#N/A,#N/A,Administrative data
66,"Apple Tree Integrated School, Inc.","199 D. Tuazon St., Sta. Mesa Heigths, Quezon City","199 D. Tuazon Street, Sta. Mesa Heigths, Quezon City, Philippines",#N/A,1,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,120.9973566,14.6340314,#N/A,#N/A,#N/A,#N/A,Administrative data
67,"Apple Tree Integrated School, Inc.","199 D. Tuazon St., Sta. Mesa Heigths, Quezon City","199 D. Tuazon Street, Sta. Mesa Heigths, Quezon City, Philippines",#N/A,1,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,120.9973566,14.6340314,#N/A,#N/A,#N/A,#N/A,Administrative data
68,"Apple Tree Integrated School, Inc.","37 Don Manuel St., Corner Dr. Alejos, Brgy Salvacion, Quezon City","37 Don Manuel Street, Corner Drive Alejos, Barangay Salvacion, Quezon City, Philippines",Salvacion,1,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,120.9949751,14.6280126,#N/A,#N/A,#N/A,#N/A,Administrative data
69,"Apple Tree Integrated School, Inc.","37 Don Manuel St., Corner Dr. Alejos, Brgy Salvacion, Quezon City","37 Don Manuel Street, Corner Drive Alejos, Barangay Salvacion, Quezon City, Philippines",Salvacion,1,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,120.9949751,14.6280126,#N/A,#N/A,#N/A,#N/A,Administrative data
76,Asian Institute of Science and Technology - Fairview,"Fairview Ave., Greater Lagro, QC","Fairview Avenue, Greater Lagro, Quezon City, Philippines",Fairview,5,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
80,Ateneo de Manila University,"Katipunan Ave., Brgy. Loyola Hgts., Quezon City","Katipunan Avenue, Barangay Loyola Hgts., Quezon City, Philippines",Katipunan,1,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
81,Ateneo de Manila University,"Katipunan Ave., Brgy. Loyola Hgts., Quezon City","Katipunan Avenue, Barangay Loyola Hgts., Quezon City, Philippines",Katipunan,1,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
82,Ateneo de Manila University,"Katipunan Ave., Brgy. Loyola Hgts., Quezon City","Katipunan Avenue, Barangay Loyola Hgts., Quezon City, Philippines",Katipunan,1,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
83,Ateneo de Manila University,"Katipunan Ave., Brgy. Loyola Hgts., Quezon City","Katipunan Avenue, Barangay Loyola Hgts., Quezon City, Philippines",Katipunan,1,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
84,"Atherton School, Inc.","B64, Atherton St., North Fairview Subd., Fairview, QC","B64, Atherton Street, North Fairview Subdivision, Fairview, Quezon City, Philippines",Fairview,5,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
85,"Atherton School, Inc.","B64, Atherton St., North Fairview Subd., Fairview, QC","B64, Atherton Street, North Fairview Subdivision, Fairview, Quezon City, Philippines",Fairview,5,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
86,"Atherton School, Inc.","B64, Atherton St., North Fairview Subd., Fairview, QC","B64, Atherton Street, North Fairview Subdivision, Fairview, Quezon City, Philippines",Fairview,5,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
87,"Atherton School, Inc.","B64, Atherton St., North Fairview Subd., Fairview, QC","B64, Atherton Street, North Fairview Subdivision, Fairview, Quezon City, Philippines",Fairview,5,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
88,Aurora A. Quezon ES,#N/A,#N/A,Doña Aurora,4,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",#N/A,#N/A,121.0083827,14.61607,#N/A,#N/A,#N/A,#N/A,Administrative data
98,Bagbag Elementary School,#N/A,#N/A,Bagbag,5,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",#N/A,#N/A,121.0313225,14.6909427,#N/A,#N/A,#N/A,#N/A,Administrative data
99,Bago Bantay Elementary School,#N/A,#N/A,Ramon Magsaysay,1,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",#N/A,#N/A,121.022955,14.660247,#N/A,#N/A,#N/A,#N/A,Administrative data
101,Bagong Pag-Asa Elementary School,#N/A,#N/A,Bagong Pag-asa,1,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",#N/A,#N/A,121.0341324,14.6631564,#N/A,#N/A,#N/A,#N/A,Administrative data
103,Bagong Silangan Elementary School,#N/A,#N/A,Bagong Silangan,2,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",#N/A,#N/A,121.1100396,14.6966872,#N/A,#N/A,#N/A,#N/A,Administrative data
104,Bagong Silangan HS,#N/A,#N/A,Bagong Silangan,2,Schools,Public,High school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",#N/A,#N/A,121.1094572,14.6962659,#N/A,#N/A,#N/A,#N/A,Administrative data
106,Bagumbayan Elementary School,#N/A,#N/A,Bagumbayan,3,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",#N/A,#N/A,121.0826464,14.6079518,#N/A,#N/A,#N/A,#N/A,Administrative data
113,Balara Academy,"169 Rd 2 Villa Balara, Comm.,. QC","169 Rd 2 Villa Balara, Comm.,. Quezon City, Philippines",Commonwealth,2,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
114,Balara Academy,"169 Rd 2 Villa Balara, Comm.,. QC","169 Rd 2 Villa Balara, Comm.,. Quezon City, Philippines",Commonwealth,2,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
115,Balara Elementary School,#N/A,#N/A,Matandang Balara,3,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",#N/A,#N/A,121.0766836,14.6726028,#N/A,#N/A,#N/A,#N/A,Administrative data
116,Balara High School,#N/A,#N/A,Matandang Balara,3,Schools,Public,High school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",#N/A,#N/A,121.0785625,14.6516875,#N/A,#N/A,#N/A,#N/A,Administrative data
117,"Balbina R. Marcelo Lrng. Ctr., Inc.","# 29 Road 7, Pag-asa, Q.C.","29 Road 7, Pag-asa, Quezon City, Philippines",Bagong Pag-asa,1,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0336178,14.6613932,#N/A,#N/A,#N/A,#N/A,Administrative data
118,Balingasa Elementary School,#N/A,#N/A,Balingasa,1,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",#N/A,#N/A,121.001282,14.652218,#N/A,#N/A,#N/A,#N/A,Administrative data
119,Balingasa High School,#N/A,#N/A,Balingasa,1,Schools,Public,High school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",#N/A,#N/A,121.0043008,14.6478575,#N/A,#N/A,#N/A,#N/A,Administrative data
121,Balumbato Elementary School,#N/A,#N/A,Balong-bato,6,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",#N/A,#N/A,121.0039423,14.6627943,#N/A,#N/A,#N/A,#N/A,Administrative data
127,Batasan Hills National HS,#N/A,#N/A,Batasan Hills,2,Schools,Public,High school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",#N/A,#N/A,121.0949519,14.6891559,#N/A,#N/A,#N/A,#N/A,Administrative data
128,Batino Elementary School,#N/A,#N/A,Amihan,3,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",#N/A,#N/A,121.0702438,14.6325912,#N/A,#N/A,#N/A,#N/A,Administrative data
130,Bayanihan Elementary School,#N/A,#N/A,Paltok,1,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",#N/A,#N/A,121.021752,14.645029,#N/A,#N/A,#N/A,#N/A,Administrative data
132,Benedictine International School of Q.C.,"288 Manotok Drive, Capitol Hills, Old Balara, Quezon City","288 Manotok Drive, Capitol Hills, Old Balara, Quezon City, Philippines",Matandang Balara,3,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0827735,14.6667008,#N/A,#N/A,#N/A,#N/A,Administrative data
133,Benedictine International School of Q.C.,"288 Manotok Drive, Capitol Hills, Old Balara, Quezon City","288 Manotok Drive, Capitol Hills, Old Balara, Quezon City, Philippines",Matandang Balara,3,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0827735,14.6667008,#N/A,#N/A,#N/A,#N/A,Administrative data
134,Benedictine International School of Q.C.,"288 Manotok Drive, Capitol Hills, Old Balara, Quezon City","288 Manotok Drive, Capitol Hills, Old Balara, Quezon City, Philippines",Matandang Balara,3,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0827735,14.6667008,#N/A,#N/A,#N/A,#N/A,Administrative data
135,Benedictine International School of Q.C.,"288 Manotok Drive, Capitol Hills, Old Balara, Quezon City","288 Manotok Drive, Capitol Hills, Old Balara, Quezon City, Philippines",Matandang Balara,3,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0827735,14.6667008,#N/A,#N/A,#N/A,#N/A,Administrative data
136,Benigno S. Aquino Jr. Elementary School,#N/A,#N/A,Commonwealth,2,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",#N/A,#N/A,121.0883273,14.6974474,#N/A,#N/A,#N/A,#N/A,Administrative data
137,Bestlink College of the Philippines,"762 Topaz corner Sapphire Street, Millionares Village, San Agustin","762 Topaz corner Sapphire Street, Millionares Village, San Agustin, Quezon City, Philippines",San Agustin,5,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0357761,14.7265562,#N/A,#N/A,#N/A,#N/A,Administrative data
138,"Bethel Christian School of Fairview, Inc.","Chestnut St. Cor. Republic Ave., West Fairview","Chestnut Street corner Republic Avenue, West Fairview, Quezon City, Philippines",Fairview,5,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
139,"Bethel Christian School of Fairview, Inc.","Chestnut St. Cor. Republic Ave., West Fairview","Chestnut Street corner Republic Avenue, West Fairview, Quezon City, Philippines",Fairview,5,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
140,"Bethel Christian School of Fairview, Inc.","Chestnut St. Cor. Republic Ave., West Fairview","Chestnut Street corner Republic Avenue, West Fairview, Quezon City, Philippines",Fairview,5,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
141,"Bethel Christian School of Fairview, Inc.","Chestnut St. Cor. Republic Ave., West Fairview","Chestnut Street corner Republic Avenue, West Fairview, Quezon City, Philippines",Fairview,5,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
142,Bethel Christian School of Holy Spirit,"3 Tulip St., Vet. Vill., Brgy. Holy Spirit, QC","3 Tulip Street, Vet. Village, Barangay Holy Spirit, Quezon City, Philippines",Holy Spirit,2,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0711117,14.6854847,#N/A,#N/A,#N/A,#N/A,Administrative data
143,Bethel Christian School of Holy Spirit,"3 Tulip St., Vet. Vill., Brgy. Holy Spirit, QC","3 Tulip Street, Vet. Village, Barangay Holy Spirit, Quezon City, Philippines",Holy Spirit,2,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0711117,14.6854847,#N/A,#N/A,#N/A,#N/A,Administrative data
144,Bethel Christian School of Holy Spirit,"3 Tulip St., Vet. Vill., Brgy. Holy Spirit, QC","3 Tulip Street, Vet. Village, Barangay Holy Spirit, Quezon City, Philippines",Holy Spirit,2,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0711117,14.6854847,#N/A,#N/A,#N/A,#N/A,Administrative data
145,Bethel Christian School of Holy Spirit,"3 Tulip St., Vet. Vill., Brgy. Holy Spirit, QC","3 Tulip Street, Vet. Village, Barangay Holy Spirit, Quezon City, Philippines",Holy Spirit,2,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0711117,14.6854847,#N/A,#N/A,#N/A,#N/A,Administrative data
146,Betty Go Belmonte ES,#N/A,#N/A,Doña Imelda,4,Schools,Public,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Public schools",#N/A,#N/A,121.018546,14.6152431,#N/A,#N/A,#N/A,#N/A,Administrative data
147,"Beulah Land Christian College, Inc. (Frmrly IEMELIF Learning Ctr., Inc.)","Marytown Circle Greenfields I, Kaligayahan, Nova., Quezon City","Marytown Circle Greenfields I, Kaligayahan, Nova., Quezon City, Philippines",Kaligayahan,5,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0417217,14.7326737,#N/A,#N/A,#N/A,#N/A,Administrative data
148,"Beulah Land Christian College, Inc. (Frmrly IEMELIF Learning Ctr., Inc.)","Marytown Circle Greenfields I, Kaligayahan, Nova., Quezon City","Marytown Circle Greenfields I, Kaligayahan, Nova., Quezon City, Philippines",Kaligayahan,5,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0417217,14.7326737,#N/A,#N/A,#N/A,#N/A,Administrative data
149,"Beulah Land Christian College, Inc. (Frmrly IEMELIF Learning Ctr., Inc.)","Marytown Circle Greenfields I, Kaligayahan, Nova., Quezon City","Marytown Circle Greenfields I, Kaligayahan, Nova., Quezon City, Philippines",Kaligayahan,5,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0417217,14.7326737,#N/A,#N/A,#N/A,#N/A,Administrative data
150,"Beulah Land Christian College, Inc. (Frmrly IEMELIF Learning Ctr., Inc.)","Marytown Circle Greenfields I, Kaligayahan, Nova., Quezon City","Marytown Circle Greenfields I, Kaligayahan, Nova., Quezon City, Philippines",Kaligayahan,5,Schools,Private,Senior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0417217,14.7326737,#N/A,#N/A,#N/A,#N/A,Administrative data
152,Blessed Exodus Christian Aca.,"B2L8-9 Amlacville Subd., Payatas B. Q.C.","B2L8-9 Amlacville Subdivision, Payatas B. Quezon City, Philippines",Payatas,2,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.1068096,14.7191856,#N/A,#N/A,#N/A,#N/A,Administrative data
153,Blessed Exodus Christian Aca.,"B2L8-9 Amlacville Subd., Payatas B. Q.C.","B2L8-9 Amlacville Subdivision, Payatas B. Quezon City, Philippines",Payatas,2,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.1068096,14.7191856,#N/A,#N/A,#N/A,#N/A,Administrative data
154,Blessed Exodus Christian Aca.,"B2L8-9 Amlacville Subd., Payatas B. Q.C.","B2L8-9 Amlacville Subdivision, Payatas B. Quezon City, Philippines",Payatas,2,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.1068096,14.7191856,#N/A,#N/A,#N/A,#N/A,Administrative data
155,blessed exodus christian academy inc.,"b2 l8 & 9, payatas b, amlacville subd, payatas, quezon city, ncr, 1119","b2 l8 & 9, payatas b, amlacville subd, payatas, quezon city, ncr, 1119, Philippines",Payatas,2,Schools,Private,Private school,"QC Future Ready dashboard, Schools",8:00AM,1:20PM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
156,"Blessed Kiddie Educational Center of Quezon City, Inc","#17 Airforce Road, Veterans Vill., Brgy. Holy Spirit,, Quezon City","17 Airforce Road, Veterans Village, Barangay Holy Spirit, Quezon City, Philippines",Holy Spirit,2,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0732801,14.6817074,#N/A,#N/A,#N/A,#N/A,Administrative data
157,"Blessed Kiddie Educational Center of Quezon City, Inc","#17 Airforce Road, Veterans Vill., Brgy. Holy Spirit,, Quezon City","17 Airforce Road, Veterans Village, Barangay Holy Spirit, Quezon City, Philippines",Holy Spirit,2,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0732801,14.6817074,#N/A,#N/A,#N/A,#N/A,Administrative data
158,"Blessed Kiddie Educational Center of Quezon City, Inc","#17 Airforce Road, Veterans Vill., Brgy. Holy Spirit,, Quezon City","17 Airforce Road, Veterans Village, Barangay Holy Spirit, Quezon City, Philippines",Holy Spirit,2,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0732801,14.6817074,#N/A,#N/A,#N/A,#N/A,Administrative data
159,Blessed Sacrament Parochial School,"J.P. Ramoy St., Talipapa, Nova., QC","J.P. Ramoy Street, Talipapa, Nova., Quezon City, Philippines",Talipapa,6,Schools,Private,Preschool,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0232131,14.6861252,#N/A,#N/A,#N/A,#N/A,Administrative data
160,Blessed Sacrament Parochial School,"J.P. Ramoy St., Talipapa, Nova., QC","J.P. Ramoy Street, Talipapa, Nova., Quezon City, Philippines",Talipapa,6,Schools,Private,Elementary school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0232131,14.6861252,#N/A,#N/A,#N/A,#N/A,Administrative data
161,Blessed Sacrament Parochial School,"J.P. Ramoy St., Talipapa, Nova., QC","J.P. Ramoy Street, Talipapa, Nova., Quezon City, Philippines",Talipapa,6,Schools,Private,Junior high school,"Data_QC Caring Cities Tracker, QC Administrative Data - Private schools",#N/A,#N/A,121.0232131,14.6861252,#N/A,#N/A,#N/A,#N/A,Administrative data
