,name_original,address,address_clean,barangay,district,major_division,sub_division,category,source_reference,open_hours,close_hours,longitude,latitude,frequency_mon_fri,frequency_saturday,frequency_sunday,bus_route,data_source
95,Azucena,"Azucena St., Brgy. Payatas","Azucena Street, Barangay Payatas, Quezon City, Philippines",Payatas,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0965389,14.6975114,#N/A,#N/A,#N/A,#N/A,Administrative data
100,Bagong Pag-asa,Road 9 cor. Road 11,"Road 9 corner Road 11, Quezon City, Philippines",Bagong Pag-asa,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0330565,14.6623978,#N/A,#N/A,#N/A,#N/A,Administrative data
102,Bagong Silangan,"Lot 1, Block 18, Bonifacio St., corner Geronimo St. (beside Brgy. Hall), Brgy. Bagong Silangan","Lot 1, Block 18, Bonifacio Street, corner Geronimo Street (beside Barangay Hall), Barangay Bagong Silangan, Quezon City, Philippines",Bagong Silangan,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.1089077,14.6987841,#N/A,#N/A,#N/A,#N/A,Administrative data
105,Bagumbayan,"75 San Roque St., Brgy. Bagumbayan","75 San Roque Street, Barangay Bagumbayan, Quezon City, Philippines",Bagumbayan,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0816346,14.6095625,#N/A,#N/A,#N/A,#N/A,Administrative data
107,Bagumbuhay,"Plaza Malvar, Malvar St., Brgy. Bagumbuhay","Plaza Malvar, Malvar Street, Barangay Bagumbuhay, Quezon City, Philippines",Bagumbuhay,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0643433,14.6255458,#N/A,#N/A,#N/A,#N/A,Administrative data
108,Bahay Bulilit,4 Misamis Ext. RSCC Compound,"4 Misamis Extension RSCC Compound, Quezon City, Philippines",Sto. Cristo,1,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0282229,14.6600273,#N/A,#N/A,#N/A,#N/A,Administrative data
109,Bahay Bulilit,"Bgy.Hall Compound, Villa Beatriz, Brgy. Matandang Balara","BarangayHall Compound, Villa Beatriz, Barangay Matandang Balara, Quezon City, Philippines",Matandang Balara,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0745689,14.6715561,#N/A,#N/A,#N/A,#N/A,Administrative data
110,Bahay Pangarap,"48 Bulacan St., near brgy. hall, Brgy. Payatas","48 Bulacan Street, near Barangay hall, Barangay Payatas, Quezon City, Philippines",Payatas,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.1014905,14.7162214,#N/A,#N/A,#N/A,#N/A,Administrative data
111,Bakas,"052A Bakas Compound, Brgy. Bagong Silangan","052A Bakas Compound, Barangay Bagong Silangan, Quezon City, Philippines",Bagong Silangan,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.1091566,14.69341,#N/A,#N/A,#N/A,#N/A,Administrative data
112,Balagtas,25 Balagtas St. cor. M. Aquino St. Brgy. Sta. Lucia,"25 Balagtas Street corner M. Aquino Street Barangay Sta. Lucia, Quezon City, Philippines",Sta. Lucia,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0496824,14.7063085,#N/A,#N/A,#N/A,#N/A,Administrative data
120,Balon Bato,11 E Maximina Drive beside Brgy. Hall,"11 E Maximina Drive beside Barangay Hall, Quezon City, Philippines",Balong-bato,6,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
122,Baluyot,5 Baluyot I,"5 Baluyot I, Quezon City, Philippines",Sauyo,6,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Administrative data
123,Banaba,"Banaba St., Brgy. Payatas","Banaba Street, Barangay Payatas, Quezon City, Philippines",Payatas,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.1108895,14.7183298,#N/A,#N/A,#N/A,#N/A,Administrative data
124,Barangay Complex,"Don Faustino St., (inside Barangay Hall compound) Brgy. Holy Spirit","Don Faustino Street, (inside Barangay Hall compound) Barangay Holy Spirit, Quezon City, Philippines",Holy Spirit,2,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0772425,14.6823067,#N/A,#N/A,#N/A,#N/A,Administrative data
129,Bayanihan,"321 Pedro Martinez St. Project 4, Brgy. Bayanihan","321 Pedro Martinez Street Project 4, Barangay Bayanihan, Quezon City, Philippines",Bayanihan,3,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0692099,14.6147687,#N/A,#N/A,#N/A,#N/A,Administrative data
131,"bebu child care solutions, inc.","3, mt. morrison street, filinvest 1, batasan hills, quezon city, ncr, 1126","3, mt. morrison street, filinvest 1, batasan hills, quezon city, ncr, 1126, Philippines",Batasan Hills,2,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",7:30AM,5:30PM,121.092212,14.6801958,#N/A,#N/A,#N/A,#N/A,Administrative data
151,Bistekville 2,"1st Flr Bistekville II Multi-Purpose Hall Building, Brgy. Kaligayahan","1st Flr Bistekville II Multi-Purpose Hall Building, Barangay Kaligayahan, Quezon City, Philippines",Kaligayahan,5,Childcare,Public,Child development center,"Data_QC Caring Cities Tracker, QC Administrative Data - Child",#N/A,#N/A,121.0432038,14.7324741,#N/A,#N/A,#N/A,#N/A,Administrative data
163,blh play center,"41, mt. mickinley st., filinvest 1 subd., batasan hills, quezon city, ncr, 1126","41, mt. mickinley Street, filinvest 1 Subdivision, batasan hills, quezon city, ncr, 1126, Philippines",Batasan Hills,2,Childcare,Private,Child learning center,"QC Future Ready dashboard, Childcare",9:00AM,11:00AM,121.0889785,14.6805001,#N/A,#N/A,#N/A,#N/A,Administrative data
