Name of Facility,Address,District,Category,Has Pharmacy,latitude,longitude
North Fairview,"Avon St., North Fairview Park Subd., Brgy. North Fairview",District 5,HEALTH CENTER,FALSE,14.708794104450800,121.06532718194300
San Bartolome,"Angela Covered Court, Marcus St. Doña Faustina Subd., Brgy. San Bartolome",District 5,HEALTH CENTER,FALSE,14.708883578005700,121.02469088101100
District VI – Health Office,Banlat Health Center,District 6,HEALTH CENTER,FALSE,14.679729328411900,121.03452475540500
Apolonio Samson,"150 Kaingin Road, Brgy. Apolonio Samson, Balintawak",District 6,HEALTH CENTER,TRUE,14.65531881745780,121.01238392334400
Baesa,"57 Baesa Road, Brgy. Baesa",District 6,HEALTH CENTER,TRUE,14.669164103342,121.006498905541
Banlat,"13 Daffodil St. cor. Daisy St., Del Nacia 1 Village, Brgy. Tandang Sora",District 6,HEALTH CENTER,TRUE,14.679750087334400,121.03440673757800
Melchora Aquino,"Loboc St. Napocor Village, Brgy. Tandang Sora",District 6,HEALTH CENTER,FALSE,14.686291829499200,121.04762916793900
Magdaleno H. Pedro,"13 J.P. Eugenio St., Philand Subd., Brgy. Pasong Tamo",District 6,HEALTH CENTER,FALSE,14.674615010883000,121.04869736901300
Sangandaan,"Premium St., Brgy. Sangandaan",District 6,HEALTH CENTER,FALSE,14.674086629489000,121.02146836880800
Sauyo,"Greenville Drive, Brgy. Sauyo",District 6,HEALTH CENTER,FALSE,14.689579114439100,121.03740472984700
Tandang Sora,"506 Quirino Highway, Talipapa People Civic Center, Brgy. Talipapa",District 6,HEALTH CENTER,FALSE,14.68811444325880,121.02647262877200
Wenceslao Dela Paz (Culiat),"Sta. Felicia St. , San Antonio Homes, Brgy. Culiat",District 6,HEALTH CENTER,FALSE,14.667006579490500,121.05754251447400
District I – Health Office,San Francisco Super Health Center,District 1,Super Health Center,FALSE,17.172629719894300,122.93136556715000
District II – Health Office,Batasan Hills Super Health Center,District 2,Super Health Center,FALSE,14.686396215994700,121.08871989628200
Payatas Super,"Molave St., Diamond Hills St., Brgy. Payatas",District 2,Super Health Center,FALSE,14.710153567047800,121.0970169909040
Murphy Super,"37 18th Avenue, Brgy. San Roque",District 3,Super Health Center,FALSE,14.615723257794300,121.06351839133700
Kamuning Super,"2nd Flr., 19 T. Gener St. cor. K-5th St., Brgy. Kamuning",District 4,Super Health Center,FALSE,14.626008935846300,121.03766796897500
Sta. Lucia Super,"Sta. Lucia Ave., Brgy. Sta. Lucia",District 5,Super Health Center,TRUE,14.70766381232790,121.0544487820650
Arsenia de Jesus Maximo Super,"Quirino Highway, Brgy. Novaliches Proper",District 5,Super Health Center,FALSE,14.7219738,121.040833863689
