barangay,district,Indicator,Total,In Flood Zone,% under flood risk
San Agustin,DISTRICT 5,Male Children (0-4),1008,95,9.42
San Antonio,DISTRICT 1,Male Children (0-4),883,370,41.9
San Bartolome,DISTRICT 5,Male Children (0-4),2029,435,21.44
San Isidro,DISTRICT 4,Male Children (0-4),263,21,7.98
San Isidro Labrador,DISTRICT 1,Male Children (0-4),248,28,11.29
San Jose,DISTRICT 1,Male Children (0-4),233,10,4.29
San Martin de Porres,DISTRICT 4,Male Children (0-4),465,38,8.17
San Roque,DISTRICT 3,Male Children (0-4),757,59,7.79
San Vicente,DISTRICT 4,Male Children (0-4),283,166,58.66
Sangandaan,DISTRICT 6,Male Children (0-4),834,213,25.54
Santol,DISTRICT 4,Male Children (0-4),255,87,34.12
Sauyo,DISTRICT 6,Male Children (0-4),3030,411,13.56
Sienna,DISTRICT 1,Male Children (0-4),80,45,56.25
Sikatuna Village,DISTRICT 4,Male Children (0-4),241,13,5.39
Silangan,DISTRICT 3,Male Children (0-4),191,68,35.6
Socorro,DISTRICT 3,Male Children (0-4),883,26,2.94
South Triangle,DISTRICT 4,Male Children (0-4),575,99,17.22
St. Ignatius,DISTRICT 3,Male Children (0-4),81,0,0.0
St. Peter,DISTRICT 1,Male Children (0-4),161,100,62.11
Sta. Cruz,DISTRICT 1,Male Children (0-4),157,61,38.85
Sta. Lucia,DISTRICT 5,Male Children (0-4),1122,395,35.2
Sta. Monica,DISTRICT 5,Male Children (0-4),2058,734,35.67
Sta. Teresita,DISTRICT 1,Male Children (0-4),467,56,11.99
Sto. Cristo,DISTRICT 1,Male Children (0-4),1023,227,22.19
Sto. Domingo (Matalahib),DISTRICT 1,Male Children (0-4),452,361,79.87
Sto. Niño,DISTRICT 4,Male Children (0-4),284,0,0.0
Tagumpay,DISTRICT 3,Male Children (0-4),90,45,50.0
Talayan,DISTRICT 1,Male Children (0-4),174,157,90.23
Talipapa,DISTRICT 6,Male Children (0-4),1541,275,17.85
Tandang Sora,DISTRICT 6,Male Children (0-4),3302,493,14.93
Tatalon,DISTRICT 4,Male Children (0-4),2194,1727,78.71
Teachers Village East,DISTRICT 4,Male Children (0-4),95,4,4.21
Teachers Village West,DISTRICT 4,Male Children (0-4),118,8,6.78
U. P. Campus,DISTRICT 4,Male Children (0-4),1879,229,12.19
U. P. Village,DISTRICT 4,Male Children (0-4),125,3,2.4
Ugong Norte,DISTRICT 3,Male Children (0-4),251,37,14.74
Unang Sigaw,DISTRICT 6,Male Children (0-4),260,74,28.46
Valencia,DISTRICT 4,Male Children (0-4),431,141,32.71
Vasra,DISTRICT 1,Male Children (0-4),292,132,45.21
Veterans Village,DISTRICT 1,Male Children (0-4),504,70,13.89
Villa Maria Clara,DISTRICT 3,Male Children (0-4),95,40,42.11
West Kamias,DISTRICT 3,Male Children (0-4),161,100,62.11
West Triangle,DISTRICT 1,Male Children (0-4),96,18,18.75
White Plains,DISTRICT 3,Male Children (0-4),141,22,15.6
Alicia,DISTRICT 1,Elderly (60+),558,158,28.32
Amihan,DISTRICT 3,Elderly (60+),319,100,31.35
Apolonio Samson,DISTRICT 6,Elderly (60+),3070,1338,43.58
Baesa,DISTRICT 6,Elderly (60+),5062,1630,32.2
Bagbag,DISTRICT 5,Elderly (60+),5865,1090,18.58
Bagong Lipunan ng Crame,DISTRICT 4,Elderly (60+),1604,244,15.21
Bagong Pag-asa,DISTRICT 1,Elderly (60+),2669,659,24.69
Bagong Silangan,DISTRICT 2,Elderly (60+),9740,1874,19.24
Bagumbayan,DISTRICT 3,Elderly (60+),2024,1146,56.62
Bagumbuhay,DISTRICT 3,Elderly (60+),578,153,26.47
Bahay Toro,DISTRICT 1,Elderly (60+),5441,1886,34.66
Balingasa,DISTRICT 1,Elderly (60+),1754,444,25.31
Balong-bato,DISTRICT 6,Elderly (60+),639,82,12.83
Batasan Hills,DISTRICT 2,Elderly (60+),15206,2674,17.59
Bayanihan,DISTRICT 3,Elderly (60+),56,0,0.0
Blue Ridge A,DISTRICT 3,Elderly (60+),143,9,6.29
Blue Ridge B,DISTRICT 3,Elderly (60+),98,15,15.31
Botocan,DISTRICT 4,Elderly (60+),603,216,35.82
Bungad,DISTRICT 1,Elderly (60+),642,124,19.31
Camp Aguinaldo,DISTRICT 3,Elderly (60+),299,20,6.69
Capri,DISTRICT 5,Elderly (60+),1171,992,84.71
Central,DISTRICT 4,Elderly (60+),1774,389,21.93
Claro (Quirino 3-B),DISTRICT 3,Elderly (60+),353,212,60.06
Commonwealth,DISTRICT 2,Elderly (60+),19459,1630,8.38
Culiat,DISTRICT 6,Elderly (60+),6180,2022,32.72
Damar,DISTRICT 1,Elderly (60+),86,20,23.26
Damayan,DISTRICT 1,Elderly (60+),546,182,33.33
Damayang Lagi,DISTRICT 4,Elderly (60+),1763,915,51.9
Del Monte,DISTRICT 1,Elderly (60+),933,352,37.73
Dioquino Zobel,DISTRICT 3,Elderly (60+),164,0,0.0
Don Manuel,DISTRICT 4,Elderly (60+),158,44,27.85
Doña Aurora,DISTRICT 4,Elderly (60+),388,0,0.0
Doña Imelda,DISTRICT 4,Elderly (60+),1067,943,88.38
Doña Josefa,DISTRICT 4,Elderly (60+),171,9,5.26
Duyan-duyan,DISTRICT 3,Elderly (60+),307,28,9.12
