barangay,district,Indicator,Total,In Flood Zone,% under flood risk
Sto. Niño,DISTRICT 4,Childcare Facilities,2,0,0.0
Tagumpay,DISTRICT 3,Childcare Facilities,0,0,
Talayan,DISTRICT 1,Childcare Facilities,4,4,100.0
Talipapa,DISTRICT 6,Childcare Facilities,10,2,20.0
Tandang Sora,DISTRICT 6,Childcare Facilities,20,5,25.0
Tatalon,DISTRICT 4,Childcare Facilities,6,5,83.33
Teachers Village East,DISTRICT 4,Childcare Facilities,2,0,0.0
Teachers Village West,DISTRICT 4,Childcare Facilities,1,0,0.0
U. P. Campus,DISTRICT 4,Childcare Facilities,16,2,12.5
U. P. Village,DISTRICT 4,Childcare Facilities,4,0,0.0
Ugong Norte,DISTRICT 3,Childcare Facilities,5,1,20.0
Unang Sigaw,DISTRICT 6,Childcare Facilities,1,1,100.0
Valencia,DISTRICT 4,Childcare Facilities,0,0,
Vasra,DISTRICT 1,Childcare Facilities,3,2,66.67
Veterans Village,DISTRICT 1,Childcare Facilities,5,0,0.0
Villa Maria Clara,DISTRICT 3,Childcare Facilities,1,0,0.0
West Kamias,DISTRICT 3,Childcare Facilities,3,3,100.0
West Triangle,DISTRICT 1,Childcare Facilities,1,0,0.0
White Plains,DISTRICT 3,Childcare Facilities,5,1,20.0
Alicia,DISTRICT 1,Elderly Care Facilities,0,0,
Amihan,DISTRICT 3,Elderly Care Facilities,0,0,
Apolonio Samson,DISTRICT 6,Elderly Care Facilities,0,0,
Baesa,DISTRICT 6,Elderly Care Facilities,0,0,
Bagbag,DISTRICT 5,Elderly Care Facilities,0,0,
Bagong Lipunan ng Crame,DISTRICT 4,Elderly Care Facilities,0,0,
Bagong Pag-asa,DISTRICT 1,Elderly Care Facilities,0,0,
Bagong Silangan,DISTRICT 2,Elderly Care Facilities,0,0,
Bagumbayan,DISTRICT 3,Elderly Care Facilities,0,0,
Bagumbuhay,DISTRICT 3,Elderly Care Facilities,0,0,
Bahay Toro,DISTRICT 1,Elderly Care Facilities,2,1,50.0
Balingasa,DISTRICT 1,Elderly Care Facilities,0,0,
Balong-bato,DISTRICT 6,Elderly Care Facilities,0,0,
Batasan Hills,DISTRICT 2,Elderly Care Facilities,3,0,0.0
Bayanihan,DISTRICT 3,Elderly Care Facilities,0,0,
Blue Ridge A,DISTRICT 3,Elderly Care Facilities,0,0,
Blue Ridge B,DISTRICT 3,Elderly Care Facilities,0,0,
Botocan,DISTRICT 4,Elderly Care Facilities,0,0,
Bungad,DISTRICT 1,Elderly Care Facilities,0,0,
Camp Aguinaldo,DISTRICT 3,Elderly Care Facilities,0,0,
Capri,DISTRICT 5,Elderly Care Facilities,0,0,
Central,DISTRICT 4,Elderly Care Facilities,0,0,
Claro (Quirino 3-B),DISTRICT 3,Elderly Care Facilities,0,0,
Commonwealth,DISTRICT 2,Elderly Care Facilities,0,0,
Culiat,DISTRICT 6,Elderly Care Facilities,0,0,
Damar,DISTRICT 1,Elderly Care Facilities,0,0,
Damayan,DISTRICT 1,Elderly Care Facilities,0,0,
Damayang Lagi,DISTRICT 4,Elderly Care Facilities,0,0,
Del Monte,DISTRICT 1,Elderly Care Facilities,0,0,
Dioquino Zobel,DISTRICT 3,Elderly Care Facilities,0,0,
Don Manuel,DISTRICT 4,Elderly Care Facilities,0,0,
Doña Aurora,DISTRICT 4,Elderly Care Facilities,0,0,
Doña Imelda,DISTRICT 4,Elderly Care Facilities,0,0,
Doña Josefa,DISTRICT 4,Elderly Care Facilities,0,0,
Duyan-duyan,DISTRICT 3,Elderly Care Facilities,0,0,
E. Rodriguez,DISTRICT 3,Elderly Care Facilities,0,0,
East Kamias,DISTRICT 3,Elderly Care Facilities,0,0,
Escopa 1,DISTRICT 3,Elderly Care Facilities,0,0,
Escopa 2,DISTRICT 3,Elderly Care Facilities,0,0,
Escopa 3,DISTRICT 3,Elderly Care Facilities,0,0,
Escopa 4,DISTRICT 3,Elderly Care Facilities,0,0,
Fairview,DISTRICT 5,Elderly Care Facilities,3,0,0.0
Greater Lagro,DISTRICT 5,Elderly Care Facilities,0,0,
Gulod,DISTRICT 5,Elderly Care Facilities,1,0,0.0
Holy Spirit,DISTRICT 2,Elderly Care Facilities,2,1,50.0
Horseshoe,DISTRICT 4,Elderly Care Facilities,0,0,
Immaculate Concepcion,DISTRICT 4,Elderly Care Facilities,0,0,
Kaligayahan,DISTRICT 5,Elderly Care Facilities,0,0,
Kalusugan,DISTRICT 4,Elderly Care Facilities,1,0,0.0
Kamuning,DISTRICT 4,Elderly Care Facilities,0,0,
Katipunan,DISTRICT 1,Elderly Care Facilities,0,0,
Kaunlaran,DISTRICT 4,Elderly Care Facilities,1,0,0.0
Kristong Hari,DISTRICT 4,Elderly Care Facilities,1,0,0.0
Krus na Ligas,DISTRICT 4,Elderly Care Facilities,0,0,
Laging Handa,DISTRICT 4,Elderly Care Facilities,0,0,
Libis,DISTRICT 3,Elderly Care Facilities,0,0,
Lourdes,DISTRICT 1,Elderly Care Facilities,0,0,
Loyola Heights,DISTRICT 3,Elderly Care Facilities,0,0,
Maharlika,DISTRICT 1,Elderly Care Facilities,0,0,
Malaya,DISTRICT 4,Elderly Care Facilities,0,0,
Mangga,DISTRICT 3,Elderly Care Facilities,0,0,
Manresa,DISTRICT 1,Elderly Care Facilities,0,0,
Mariana,DISTRICT 4,Elderly Care Facilities,1,0,0.0
Mariblo,DISTRICT 1,Elderly Care Facilities,0,0,
Marilag,DISTRICT 3,Elderly Care Facilities,0,0,
Masagana,DISTRICT 3,Elderly Care Facilities,0,0,
Masambong,DISTRICT 1,Elderly Care Facilities,0,0,
Matandang Balara,DISTRICT 3,Elderly Care Facilities,0,0,
Milagrosa,DISTRICT 3,Elderly Care Facilities,0,0,
N. S. Amoranto (Gintong Silahis),DISTRICT 1,Elderly Care Facilities,0,0,
Nagkaisang Nayon,DISTRICT 5,Elderly Care Facilities,0,0,
Nayong Kanluran,DISTRICT 1,Elderly Care Facilities,0,0,
New Era,DISTRICT 6,Elderly Care Facilities,0,0,
North Fairview,DISTRICT 5,Elderly Care Facilities,2,0,0.0
Novaliches Proper,DISTRICT 5,Elderly Care Facilities,0,0,
Obrero,DISTRICT 4,Elderly Care Facilities,0,0,
Old Capitol Site,DISTRICT 4,Elderly Care Facilities,0,0,
Paang Bundok,DISTRICT 1,Elderly Care Facilities,0,0,
Pag-ibig sa Nayon,DISTRICT 1,Elderly Care Facilities,0,0,
Paligsahan,DISTRICT 4,Elderly Care Facilities,0,0,
Paltok,DISTRICT 1,Elderly Care Facilities,0,0,
Pansol,DISTRICT 3,Elderly Care Facilities,0,0,
Paraiso,DISTRICT 1,Elderly Care Facilities,0,0,
Pasong Putik Proper,DISTRICT 5,Elderly Care Facilities,0,0,
Pasong Tamo,DISTRICT 6,Elderly Care Facilities,1,0,0.0
Payatas,DISTRICT 2,Elderly Care Facilities,0,0,
Phil-Am,DISTRICT 1,Elderly Care Facilities,2,0,0.0
Pinagkaisahan,DISTRICT 4,Elderly Care Facilities,0,0,
Pinyahan,DISTRICT 4,Elderly Care Facilities,1,0,0.0
Project 6,DISTRICT 1,Elderly Care Facilities,0,0,
Quirino 2-A,DISTRICT 3,Elderly Care Facilities,0,0,
Quirino 2-B,DISTRICT 3,Elderly Care Facilities,1,0,0.0
Quirino 2-C,DISTRICT 3,Elderly Care Facilities,0,0,
Quirino 3-A,DISTRICT 3,Elderly Care Facilities,0,0,
Ramon Magsaysay,DISTRICT 1,Elderly Care Facilities,0,0,
Reservoir,,Elderly Care Facilities,0,0,
Roxas,DISTRICT 4,Elderly Care Facilities,0,0,
Sacred Heart,DISTRICT 4,Elderly Care Facilities,0,0,
Salvacion,DISTRICT 1,Elderly Care Facilities,0,0,
San Agustin,DISTRICT 5,Elderly Care Facilities,0,0,
San Antonio,DISTRICT 1,Elderly Care Facilities,1,0,0.0
San Bartolome,DISTRICT 5,Elderly Care Facilities,0,0,
San Isidro,DISTRICT 4,Elderly Care Facilities,0,0,
San Isidro Labrador,DISTRICT 1,Elderly Care Facilities,0,0,
San Jose,DISTRICT 1,Elderly Care Facilities,0,0,
San Martin de Porres,DISTRICT 4,Elderly Care Facilities,0,0,
San Roque,DISTRICT 3,Elderly Care Facilities,0,0,
San Vicente,DISTRICT 4,Elderly Care Facilities,0,0,
Sangandaan,DISTRICT 6,Elderly Care Facilities,0,0,
Santol,DISTRICT 4,Elderly Care Facilities,1,1,100.0
Sauyo,DISTRICT 6,Elderly Care Facilities,0,0,
Sienna,DISTRICT 1,Elderly Care Facilities,0,0,
Sikatuna Village,DISTRICT 4,Elderly Care Facilities,1,0,0.0
Silangan,DISTRICT 3,Elderly Care Facilities,0,0,
Socorro,DISTRICT 3,Elderly Care Facilities,0,0,
South Triangle,DISTRICT 4,Elderly Care Facilities,1,0,0.0
St. Ignatius,DISTRICT 3,Elderly Care Facilities,0,0,
St. Peter,DISTRICT 1,Elderly Care Facilities,0,0,
Sta. Cruz,DISTRICT 1,Elderly Care Facilities,0,0,
Sta. Lucia,DISTRICT 5,Elderly Care Facilities,0,0,
Sta. Monica,DISTRICT 5,Elderly Care Facilities,0,0,
Sta. Teresita,DISTRICT 1,Elderly Care Facilities,0,0,
Sto. Cristo,DISTRICT 1,Elderly Care Facilities,1,1,100.0
Sto. Domingo (Matalahib),DISTRICT 1,Elderly Care Facilities,0,0,
Sto. Niño,DISTRICT 4,Elderly Care Facilities,0,0,
Tagumpay,DISTRICT 3,Elderly Care Facilities,0,0,
Talayan,DISTRICT 1,Elderly Care Facilities,0,0,
Talipapa,DISTRICT 6,Elderly Care Facilities,0,0,
Tandang Sora,DISTRICT 6,Elderly Care Facilities,2,2,100.0
Tatalon,DISTRICT 4,Elderly Care Facilities,0,0,
Teachers Village East,DISTRICT 4,Elderly Care Facilities,1,0,0.0
Teachers Village West,DISTRICT 4,Elderly Care Facilities,0,0,
U. P. Campus,DISTRICT 4,Elderly Care Facilities,0,0,
U. P. Village,DISTRICT 4,Elderly Care Facilities,0,0,
Ugong Norte,DISTRICT 3,Elderly Care Facilities,0,0,
Unang Sigaw,DISTRICT 6,Elderly Care Facilities,0,0,
Valencia,DISTRICT 4,Elderly Care Facilities,0,0,
Vasra,DISTRICT 1,Elderly Care Facilities,0,0,
Veterans Village,DISTRICT 1,Elderly Care Facilities,0,0,
Villa Maria Clara,DISTRICT 3,Elderly Care Facilities,0,0,
West Kamias,DISTRICT 3,Elderly Care Facilities,0,0,
West Triangle,DISTRICT 1,Elderly Care Facilities,0,0,
White Plains,DISTRICT 3,Elderly Care Facilities,0,0,
Alicia,DISTRICT 1,PwD Facilities,0,0,
Amihan,DISTRICT 3,PwD Facilities,0,0,
Apolonio Samson,DISTRICT 6,PwD Facilities,0,0,
Baesa,DISTRICT 6,PwD Facilities,0,0,
Bagbag,DISTRICT 5,PwD Facilities,0,0,
Bagong Lipunan ng Crame,DISTRICT 4,PwD Facilities,1,0,0.0
Bagong Pag-asa,DISTRICT 1,PwD Facilities,0,0,
Bagong Silangan,DISTRICT 2,PwD Facilities,0,0,
Bagumbayan,DISTRICT 3,PwD Facilities,1,1,100.0
Bagumbuhay,DISTRICT 3,PwD Facilities,0,0,
Bahay Toro,DISTRICT 1,PwD Facilities,3,0,0.0
Balingasa,DISTRICT 1,PwD Facilities,1,0,0.0
Balong-bato,DISTRICT 6,PwD Facilities,0,0,
Batasan Hills,DISTRICT 2,PwD Facilities,1,0,0.0
Bayanihan,DISTRICT 3,PwD Facilities,0,0,
Blue Ridge A,DISTRICT 3,PwD Facilities,0,0,
Blue Ridge B,DISTRICT 3,PwD Facilities,1,0,0.0
Botocan,DISTRICT 4,PwD Facilities,0,0,
Bungad,DISTRICT 1,PwD Facilities,0,0,
Camp Aguinaldo,DISTRICT 3,PwD Facilities,0,0,
Capri,DISTRICT 5,PwD Facilities,0,0,
Central,DISTRICT 4,PwD Facilities,0,0,
Claro (Quirino 3-B),DISTRICT 3,PwD Facilities,0,0,
Commonwealth,DISTRICT 2,PwD Facilities,0,0,
Culiat,DISTRICT 6,PwD Facilities,0,0,
Damar,DISTRICT 1,PwD Facilities,0,0,
Damayan,DISTRICT 1,PwD Facilities,0,0,
Damayang Lagi,DISTRICT 4,PwD Facilities,0,0,
Del Monte,DISTRICT 1,PwD Facilities,0,0,
Dioquino Zobel,DISTRICT 3,PwD Facilities,0,0,
Don Manuel,DISTRICT 4,PwD Facilities,0,0,
Doña Aurora,DISTRICT 4,PwD Facilities,0,0,
Doña Imelda,DISTRICT 4,PwD Facilities,1,1,100.0
Doña Josefa,DISTRICT 4,PwD Facilities,1,0,0.0
Duyan-duyan,DISTRICT 3,PwD Facilities,0,0,
E. Rodriguez,DISTRICT 3,PwD Facilities,0,0,
East Kamias,DISTRICT 3,PwD Facilities,0,0,
Escopa 1,DISTRICT 3,PwD Facilities,0,0,
Escopa 2,DISTRICT 3,PwD Facilities,0,0,
Escopa 3,DISTRICT 3,PwD Facilities,0,0,
Escopa 4,DISTRICT 3,PwD Facilities,0,0,
Fairview,DISTRICT 5,PwD Facilities,3,1,33.33
Greater Lagro,DISTRICT 5,PwD Facilities,2,0,0.0
Gulod,DISTRICT 5,PwD Facilities,0,0,
Holy Spirit,DISTRICT 2,PwD Facilities,1,0,0.0
Horseshoe,DISTRICT 4,PwD Facilities,0,0,
Immaculate Concepcion,DISTRICT 4,PwD Facilities,1,0,0.0
Kaligayahan,DISTRICT 5,PwD Facilities,1,0,0.0
Kalusugan,DISTRICT 4,PwD Facilities,0,0,
Kamuning,DISTRICT 4,PwD Facilities,2,1,50.0
Katipunan,DISTRICT 1,PwD Facilities,0,0,
Kaunlaran,DISTRICT 4,PwD Facilities,0,0,
Kristong Hari,DISTRICT 4,PwD Facilities,1,0,0.0
Krus na Ligas,DISTRICT 4,PwD Facilities,1,0,0.0
Laging Handa,DISTRICT 4,PwD Facilities,1,0,0.0
Libis,DISTRICT 3,PwD Facilities,0,0,
Lourdes,DISTRICT 1,PwD Facilities,0,0,
Loyola Heights,DISTRICT 3,PwD Facilities,2,0,0.0
Maharlika,DISTRICT 1,PwD Facilities,1,1,100.0
Malaya,DISTRICT 4,PwD Facilities,0,0,
Mangga,DISTRICT 3,PwD Facilities,0,0,
Manresa,DISTRICT 1,PwD Facilities,0,0,
Mariana,DISTRICT 4,PwD Facilities,1,0,0.0
Mariblo,DISTRICT 1,PwD Facilities,0,0,
Marilag,DISTRICT 3,PwD Facilities,0,0,
Masagana,DISTRICT 3,PwD Facilities,0,0,
Masambong,DISTRICT 1,PwD Facilities,0,0,
Matandang Balara,DISTRICT 3,PwD Facilities,1,0,0.0
Milagrosa,DISTRICT 3,PwD Facilities,0,0,
N. S. Amoranto (Gintong Silahis),DISTRICT 1,PwD Facilities,0,0,
Nagkaisang Nayon,DISTRICT 5,PwD Facilities,0,0,
Nayong Kanluran,DISTRICT 1,PwD Facilities,0,0,
New Era,DISTRICT 6,PwD Facilities,0,0,
North Fairview,DISTRICT 5,PwD Facilities,2,0,0.0
Novaliches Proper,DISTRICT 5,PwD Facilities,0,0,
Obrero,DISTRICT 4,PwD Facilities,0,0,
Old Capitol Site,DISTRICT 4,PwD Facilities,0,0,
Paang Bundok,DISTRICT 1,PwD Facilities,0,0,
Pag-ibig sa Nayon,DISTRICT 1,PwD Facilities,0,0,
Paligsahan,DISTRICT 4,PwD Facilities,0,0,
Paltok,DISTRICT 1,PwD Facilities,0,0,
Pansol,DISTRICT 3,PwD Facilities,0,0,
Paraiso,DISTRICT 1,PwD Facilities,0,0,
Pasong Putik Proper,DISTRICT 5,PwD Facilities,1,0,0.0
Pasong Tamo,DISTRICT 6,PwD Facilities,2,0,0.0
Payatas,DISTRICT 2,PwD Facilities,0,0,
Phil-Am,DISTRICT 1,PwD Facilities,0,0,
Pinagkaisahan,DISTRICT 4,PwD Facilities,0,0,
Pinyahan,DISTRICT 4,PwD Facilities,0,0,
Project 6,DISTRICT 1,PwD Facilities,0,0,
Quirino 2-A,DISTRICT 3,PwD Facilities,0,0,
Quirino 2-B,DISTRICT 3,PwD Facilities,1,1,100.0
Quirino 2-C,DISTRICT 3,PwD Facilities,0,0,
Quirino 3-A,DISTRICT 3,PwD Facilities,0,0,
Ramon Magsaysay,DISTRICT 1,PwD Facilities,1,0,0.0
Reservoir,,PwD Facilities,0,0,
Roxas,DISTRICT 4,PwD Facilities,0,0,
Sacred Heart,DISTRICT 4,PwD Facilities,2,0,0.0
Salvacion,DISTRICT 1,PwD Facilities,0,0,
San Agustin,DISTRICT 5,PwD Facilities,0,0,
San Antonio,DISTRICT 1,PwD Facilities,0,0,
San Bartolome,DISTRICT 5,PwD Facilities,0,0,
San Isidro,DISTRICT 4,PwD Facilities,0,0,
San Isidro Labrador,DISTRICT 1,PwD Facilities,0,0,
San Jose,DISTRICT 1,PwD Facilities,0,0,
San Martin de Porres,DISTRICT 4,PwD Facilities,0,0,
San Roque,DISTRICT 3,PwD Facilities,2,0,0.0
San Vicente,DISTRICT 4,PwD Facilities,0,0,
Sangandaan,DISTRICT 6,PwD Facilities,1,0,0.0
Santol,DISTRICT 4,PwD Facilities,0,0,
Sauyo,DISTRICT 6,PwD Facilities,0,0,
Sienna,DISTRICT 1,PwD Facilities,2,2,100.0
Sikatuna Village,DISTRICT 4,PwD Facilities,0,0,
Silangan,DISTRICT 3,PwD Facilities,0,0,
Socorro,DISTRICT 3,PwD Facilities,0,0,
South Triangle,DISTRICT 4,PwD Facilities,0,0,
St. Ignatius,DISTRICT 3,PwD Facilities,0,0,
St. Peter,DISTRICT 1,PwD Facilities,0,0,
Sta. Cruz,DISTRICT 1,PwD Facilities,1,0,0.0
Sta. Lucia,DISTRICT 5,PwD Facilities,0,0,
Sta. Monica,DISTRICT 5,PwD Facilities,1,0,0.0
Sta. Teresita,DISTRICT 1,PwD Facilities,1,1,100.0
Sto. Cristo,DISTRICT 1,PwD Facilities,1,0,0.0
Sto. Domingo (Matalahib),DISTRICT 1,PwD Facilities,3,1,33.33
Sto. Niño,DISTRICT 4,PwD Facilities,0,0,
Tagumpay,DISTRICT 3,PwD Facilities,0,0,
Talayan,DISTRICT 1,PwD Facilities,0,0,
Talipapa,DISTRICT 6,PwD Facilities,0,0,
Tandang Sora,DISTRICT 6,PwD Facilities,0,0,
Tatalon,DISTRICT 4,PwD Facilities,0,0,
Teachers Village East,DISTRICT 4,PwD Facilities,1,0,0.0
Teachers Village West,DISTRICT 4,PwD Facilities,0,0,
U. P. Campus,DISTRICT 4,PwD Facilities,0,0,
U. P. Village,DISTRICT 4,PwD Facilities,0,0,
Ugong Norte,DISTRICT 3,PwD Facilities,1,1,100.0
Unang Sigaw,DISTRICT 6,PwD Facilities,0,0,
Valencia,DISTRICT 4,PwD Facilities,1,0,0.0
Vasra,DISTRICT 1,PwD Facilities,0,0,
Veterans Village,DISTRICT 1,PwD Facilities,0,0,
Villa Maria Clara,DISTRICT 3,PwD Facilities,0,0,
West Kamias,DISTRICT 3,PwD Facilities,0,0,
West Triangle,DISTRICT 1,PwD Facilities,0,0,
White Plains,DISTRICT 3,PwD Facilities,0,0,
